name;slug;ownership;mission;known_for;project;research_areas;products;services;budget;founded;score;city_name;numberOfEmployees;parent_organization_name;metadata;authority;collections;description;facilities;founders;jurisdiction;members;offices;partners;personnel;programs_activities;serial_number;subsidiaries;subtype;type1;type2;student_count;undergraduates;postgraduates;countries;industries;working_area_cities
International Bar Association (IBA);international-bar-association-iba;;;World's leading organization for legal professionals;;;;;Membership dues, events, sponsorships;1947;;London;RANGE_51_200;;;;;;;;;;;"UN;law societies;bar associations";;"Legal conferences;rule of law;publications";CLU-000007;Members in 170+ countries;ASSOCIATION;Professional association;;;;;;;
The Louvre Museum;the-louvre-museum;;;;;;;;;1793;;London;RANGE_1001_5000;;;;Paintings, sculptures, decorative arts, Islamic art, antiquities;One of the world’s oldest and most famous museums, housing human history, art, and cultural objects from around the world.;;;;;;;;;MUS-000002;;MUSEUM;;;;;;;;
World Association of Girl Guides and Girl Scouts (WAGGGS);world-association-of-girl-guides-and-girl-scouts-wagggs;;;Largest organization dedicated to girls' leadership;;;;;Membership fees, grants, philanthropy;1928;;London;RANGE_51_200;;;;;;;;;;;"UN Women;UNICEF";;"Leadership;education;gender equality";CLU-000008;153 Member Organizations;ASSOCIATION;Youth organization;;;;;;;
International Council of Museums (ICOM);international-council-of-museums-icom;;;Global museum standards and Code of Ethics;;;;;Membership dues, grants, UNESCO support;1946;;Paris;RANGE_51_200;;;;;;;;;;;"UNESCO;museums worldwide";;"Museum standards;ethics;training;cultural heritage";CLU-000009;120+ National Committees, 30+ International Committees;ASSOCIATION;Professional association;;;;;;;
Association for Computing Machinery (ACM);association-for-computing-machinery-acm;;;World's largest educational and scientific computing society;;;;;Membership dues, publications, conferences;1947;;New York City;RANGE_201_1000;;;;;;;;;;;"Universities;IEEE;industry";;"Computing research;journals;conferences;education";CLU-000010;180+ Local Chapters, 800+ Student Chapters;ASSOCIATION;Professional association;;;;;;;
Embassy of the United States in Japan;embassy-of-the-united-states-in-japan;;;;;;;"Visa processing;passport services;citizen assistance;trade promotion;cultural exchange";;1859;;Tokyo;;;;;;Represents the United States in Japan and manages diplomatic, political, economic, and consular relations.;;;;;;;;;EMB-000001;;EMBASSY;;;;;;JP;;
Embassy of Japan in the United States;embassy-of-japan-in-the-united-states;;;;;;;"Visa services;passport renewal;cultural diplomacy;trade and investment support";;1860;;;;;;;;Serves as Japan's primary diplomatic mission in the United States, strengthening bilateral relations.;;;;;;;;;EMB-000002;;EMBASSY;;;;;;US;;
Embassy of the United Kingdom in France;embassy-of-the-united-kingdom-in-france;;;;;;;"Consular assistance;visa information;trade support;political cooperation";;1814;;Paris;;;;;;Represents the United Kingdom in France and provides services to British nationals while promoting UK interests.;;;;;;;;;EMB-000003;;EMBASSY;;;;;;FR;;
Embassy of Germany in Canada;embassy-of-germany-in-canada;;;;;;;"Passport and visa services;cultural programs;economic cooperation;consular assistance";;1951;;;;;;;;Promotes diplomatic, economic, and cultural relations between Germany and Canada.;;;;;;;;;EMB-000004;;EMBASSY;;;;;;CA;;
Embassy of Australia in Indonesia;embassy-of-australia-in-indonesia;;;;;;;"Consular services;visa information;development cooperation;trade and education support";;1950;;;;;;;;Represents Australia in Indonesia and works to strengthen diplomatic, security, and economic partnerships.;;;;;;;;;EMB-000005;;EMBASSY;;;;;;ID;;
U.S. Chamber of Commerce;u-s-chamber-of-commerce;;To advance economic growth and support American businesses.;;;;;"Business advocacy;policy research;networking;training;legal support";;1912;;;;;;;;Represents businesses of all sizes and advocates for pro-business policies in the United States.;;;United States;;;;;;CHA-000001;;CHAMBER_OF_COMMERCE;National Chamber of Commerce;;;;;;;
British Chambers of Commerce (BCC);british-chambers-of-commerce-bcc;;To help businesses grow and influence economic policy.;;;;;"Business networking;export assistance;policy advocacy;training";;1860;;London;;;;;;A network of accredited chambers supporting businesses across the UK and internationally.;;;United Kingdom;;;;;;CHA-000002;;CHAMBER_OF_COMMERCE;National Chamber Network;;;;;;;
Singapore Chinese Chamber of Commerce & Industry (SCCCI);singapore-chinese-chamber-of-commerce-industry-sccci;;To foster business excellence and strengthen commercial ties.;;;;;"Trade promotion;business networking;education;arbitration";;1906;;Singapore;;;;;;Promotes trade, industry, and entrepreneurship while supporting the Singapore business community.;;;Singapore;;;;;;CHA-000003;;CHAMBER_OF_COMMERCE;Chamber of Commerce;;;;;;;
Dubai Chamber of Commerce;dubai-chamber-of-commerce;;To create a favorable business environment and enhance Dubai's global competitiveness.;;;;;"Trade facilitation;business registration support;networking;market intelligence";;1965;;;;;;;;Supports businesses operating in Dubai and promotes international trade and investment.;;;Emirate of Dubai, United Arab Emirates;;;;;;CHA-000004;;CHAMBER_OF_COMMERCE;Chamber of Commerce;;;;;;;
Indian Chamber of Commerce (ICC);indian-chamber-of-commerce-icc;;To strengthen Indian industry and facilitate sustainable economic growth.;;;;;"Business advocacy;conferences;trade promotion;policy consultation";;1925;;;;;;;;One of India's oldest national chambers, promoting industry, commerce, and economic development.;;;India;;;;;;CHA-000005;;CHAMBER_OF_COMMERCE;Chamber of Commerce;;;;;;;
New York City Government;new-york-city-government;;;"Largest municipal government in the U.S.; extensive public services";;;;;Approximately US$112 billion (FY 2025);1898;;New York City;RANGE_5000_PLUS;;;;;Governs New York City's five boroughs and delivers essential public services.;;;;;;"State of New York;federal agencies;nonprofit organizations;private sector";;"Public safety;education;transportation;housing;sanitation;public health;parks";CIT-000001;Police, Fire, Education, Health, Transportation, Parks, Sanitation;CITY_GOVERNMENT;Municipal Government;;;;;;;
The Metropolitan Museum of Art;the-metropolitan-museum-of-art;;;;;;;;;1870;;Paris;RANGE_1001_5000;;;;American, European, Asian, African, Islamic, and ancient art;The world’s largest art museum, famous for masterpieces such as the Mona Lisa and extensive historical collections.;;;;;;;;;MUS-000003;;MUSEUM;;;;;;;;
Tokyo Metropolitan Government;tokyo-metropolitan-government;;;Efficient urban management and disaster preparedness;;;;;Approximately ¥8.5 trillion (FY 2025);1943;;Tokyo;RANGE_5000_PLUS;;;;;Administers Tokyo's 23 special wards, cities, towns, and villages while coordinating regional development.;;;;;;"Government of Japan;local municipalities;universities;businesses";;"Urban planning;disaster management;public transportation;environmental protection;education";CIT-000002;Transportation, Health, Education, Construction, Environment, Finance;CITY_GOVERNMENT;Metropolitan Government;;;;;;;
City of London Corporation;city-of-london-corporation;;;Governance of London's historic financial district;;;;;Approximately £1.8 billion (annual combined spending);1067;;London;RANGE_1001_5000;;;;;Manages the Square Mile, supporting financial services while providing local government functions.;;;;;;"UK Government;financial institutions;cultural organizations";;"Economic development;planning;policing;cultural heritage;markets;public spaces";CIT-000003;Finance, Planning, Markets, Environment, Culture, City Services;CITY_GOVERNMENT;Municipal Government;;;;;;;
City of Sydney Council;city-of-sydney-council;;;Sustainability initiatives and smart city programs;;;;;Approximately A$800 million (annual budget);1842;;Sydney;RANGE_1001_5000;;;;;Governs central Sydney and delivers services for residents, businesses, and visitors.;;;;;;"New South Wales Government;local businesses;community organizations";;"Waste management;urban planning;libraries;parks;sustainability;community development";CIT-000004;Community Services, Planning, Infrastructure, Sustainability, Finance;CITY_GOVERNMENT;Local Government;;;;;;;
City of Toronto Government;city-of-toronto-government;;;North America's fourth-largest city government by population served;;;;;Approximately C$17 billion (annual operating and capital budget);1998;;Toronto;RANGE_5000_PLUS;;;;;Provides municipal services and oversees infrastructure, transit, and community programs across Toronto.;;;;;;"Government of Ontario;Government of Canada;public agencies;nonprofits";;"Public transit;housing;emergency services;recreation;infrastructure;public health";CIT-000005;Public Health, Transit, Housing, Parks, Emergency Services, Finance;CITY_GOVERNMENT;Municipal Government;;;;;;;
Federal Reserve System;federal-reserve-system;;;;;;;;;1913;;;RANGE_5000_PLUS;;;;;The central banking system of the United States responsible for monetary policy, financial stability, and banking supervision.;;;;;;;;;CEN-000001;12 Federal Reserve Banks, Federal Open Market Committee (FOMC), Federal Reserve Board;CENTRAL_BANK;;United States Dollar (USD);;;;US;;
European Central Bank (ECB);european-central-bank-ecb;;;;;;;;;1998;;;RANGE_5000_PLUS;;;;;Manages monetary policy for countries using the euro and supervises significant banks in the Eurozone.;;;;;;;;;CEN-000002;Single Supervisory Mechanism (SSM), European System of Central Banks (ESCB);CENTRAL_BANK;;Euro (EUR);;;;;;
Bank of England;bank-of-england;;;;;;;;Approximately US$7.5 billion (annual operating expenses);1694;;London;RANGE_5000_PLUS;;;;;The UK's central bank responsible for monetary policy, financial stability, and issuance of banknotes in England and Wales.;;;United States;;;;;;CEN-000003;Prudential Regulation Authority (PRA), Monetary Policy Committee (MPC), Financial Policy Committee (FPC);CENTRAL_BANK;;Pound Sterling (GBP);;;;GB;;
Bank of Japan;bank-of-japan;;;;;;;;Approximately €1.3 billion (annual budget);1882;;Tokyo;RANGE_1001_5000;;;;;Oversees Japan's monetary policy, issues currency, and maintains financial system stability.;;;Eurozone;;;;;;CEN-000004;Head Office, 32 Branches, 14 Local Offices;CENTRAL_BANK;;Japanese Yen (JPY);;;;JP;;
Reserve Bank of Australia (RBA);reserve-bank-of-australia-rba;;;;;;;;Approximately £900 million (annual operating budget);1960;;Sydney;RANGE_1001_5000;;;;;Australia's central bank responsible for monetary policy, financial system stability, and issuance of banknotes.;;;United Kingdom;;;;;;CEN-000005;Payments System Board, Note Issue Department, Banking Department;CENTRAL_BANK;;Australian Dollar (AUD);;;;AU;;
Eton College;eton-college;;;;;;;;Approximately ¥250 billion (annual operating budget);1440;;;RANGE_51_200;;;;;One of the world’s most prestigious boarding schools, known for academic excellence, leadership development, and a long history of notable alumni.;;;Japan;;;;;;SEC-000001;;SECONDARY_SCHOOLS;Secondary Education (ages 13–18);;;;;;;
Phillips Exeter Academy;phillips-exeter-academy;;;;;;;;Approximately A$600 million (annual operating budget);1781;;;RANGE_51_200;;;;;A highly selective private boarding school famous for its Harkness teaching method, strong academics, and global student community.;;;Australia;;;;;;SEC-000002;;SECONDARY_SCHOOLS;Secondary Education (grades 9–12);;;;;;;
The Lawrenceville School;the-lawrenceville-school;;;;;;;;;1810;;;RANGE_51_200;;;;;A leading independent boarding school offering rigorous academics, athletics, arts, and leadership programs.;;;;;;;;;SEC-000003;;SECONDARY_SCHOOLS;Secondary Education (grades 9–12);;;;;;;
Harrow School;harrow-school;;;;;;;;;1572;;;RANGE_51_200;;;;;A historic British boarding school recognized for academic achievement, traditions, and development of future leaders.;;;;;;;;;SEC-000004;;SECONDARY_SCHOOLS;Secondary Education (ages 13–18);;;;;;;
United World College of South East Asia;united-world-college-of-south-east-asia;;;;;;;;;1971;;Singapore;RANGE_201_1000;;;;;A large international school offering the International Baccalaureate curriculum with a diverse multicultural student body.;;;;;;;;;SEC-000005;;SECONDARY_SCHOOLS;Secondary Education (ages 13–18);;;;;;;
The British Museum;the-british-museum;;;;;;;;;1753;;;RANGE_201_1000;;;;Ancient Egyptian, Greek, Roman, Asian, African, and Middle Eastern collections;Description;;;;;;;;;MUS-000001;;MUSEUM;;;;;;;;
Smithsonian National Museum of Natural History;smithsonian-national-museum-of-natural-history;;;;;;;;;1910;;New York City;RANGE_201_1000;;;;Fossils, minerals, animals, plants, anthropology collections;A leading global art museum featuring works from ancient civilizations to modern art.;;;;;;;;;MUS-000004;;MUSEUM;;;;;;;;
State Hermitage Museum;state-hermitage-museum;;;;;;;;;1764;;;RANGE_1001_5000;;;;European paintings, Russian art, antiquities, jewelry, archaeology;A major natural history museum known for research, fossils, biodiversity, and scientific collections.;;;;;;;;;MUS-000005;;MUSEUM;;;;;;;;
Mayo Clinic;mayo-clinic;;To inspire hope and contribute to health and well-being by providing excellent care to every patient through integrated clinical practice, education, and research.;;;;;;;1889;;;RANGE_5000_PLUS;;;;;One of the world’s largest museums, containing extensive art and cultural collections from many civilizations.;;;;;;;;;HOS-000001;;HOSPITAL;Nonprofit academic medical center;;;;;;;
Cleveland Clinic;cleveland-clinic;;To provide better care for patients, improve healthcare outcomes, and advance medical knowledge through research and education.;;;;;;~£100 million+ annual operating income;1921;;Rochester;RANGE_5000_PLUS;;;;;A world-renowned healthcare organization known for advanced medical research, specialty care, and patient-centered treatment.;;;;;;;;;HOS-000002;;HOSPITAL;Nonprofit academic medical center;;;;;;;
Johns Hopkins Hospital;johns-hopkins-hospital;;To improve health through patient care, research, and education while advancing medical discovery.;;;;;;~€250 million+ annual budget;1889;;;RANGE_5000_PLUS;;;;;A leading global hospital system recognized for cardiology, surgery, research, and innovative healthcare services.;;;;;;;;;HOS-000003;;HOSPITAL;Teaching hospital and research center;;;;;;;
Massachusetts General Hospital;massachusetts-general-hospital;;To deliver exceptional care, educate future healthcare leaders, and advance science to improve lives.;;;;;;~$300 million+ annual operating budget;1811;;Baltimore;RANGE_5000_PLUS;;;;;A prestigious academic hospital known for groundbreaking research, medical education, and complex patient care.;;;;;;;;;HOS-000004;;HOSPITAL;Academic medical center;;;;;;;
Charité – Universitätsmedizin Berlin;charite-universitatsmedizin-berlin;;To provide outstanding healthcare, conduct innovative research, and educate the next generation of medical professionals.;;;;;;Part of Smithsonian Institution budget (~$1 billion+ total);1710;;Boston;RANGE_5000_PLUS;;;;;One of the oldest and largest hospitals in the United States, recognized for clinical excellence and biomedical research.;;;;;;;;;HOS-000005;;HOSPITAL;University hospital and research institution;;;;;;;
Supreme Court of the United States;supreme-court-of-the-united-states;;;;;;;;Estimated multi-billion ruble annual funding;1789;;;RANGE_1_10;;;;;One of Europe’s largest university hospitals, combining patient care, medical education, and research.;;;United States (federal jurisdiction);;;;;;COU-000001;;COURT;Supreme Court (highest court);Constitutional law, federal law, civil rights, criminal appeals, disputes between states;;;;;;
International Court of Justice;international-court-of-justice;;;;;;;;;1945;;;RANGE_11_50;;;;;The highest court in the United States, responsible for interpreting the Constitution and reviewing decisions from lower courts.;;;United Nations member states;;;;;;COU-000002;;COURT;International court;Disputes between countries, international law, advisory opinions;;;;;;
European Court of Human Rights;european-court-of-human-rights;;;;;;;;;1959;;;RANGE_11_50;;;;;The principal judicial organ of the United Nations that settles legal disputes between states.;;;Council of Europe member states;;;;;;COU-000003;;COURT;Human rights court;Human rights violations, civil liberties, freedom rights cases;;;;;;
Supreme Court of India;supreme-court-of-india;;;;;;;;;1950;;;RANGE_11_50;;;;;A court that ensures member countries respect rights protected under the European Convention on Human Rights.;;;India (national jurisdiction);;;;;;COU-000004;;COURT;Supreme Court (constitutional court);Constitutional matters, appeals, public interest cases, civil and criminal cases;;;;;;
Federal Constitutional Court of Germany;federal-constitutional-court-of-germany;;;;;;;;;1951;;;RANGE_11_50;;;;;The highest judicial authority in India, responsible for protecting the Constitution and resolving major legal disputes.;;;Germany (constitutional jurisdiction);;;;;;COU-000005;;COURT;Constitutional court;Constitutional complaints, government disputes, election laws, fundamental rights cases;;;;;;
Pekamix;pekamix;Public;;Robust ERP solutions for manufacturing industries;;;"Pekamix ERP Suite;Business Analytics Tools";;;2003;;Tokyo;RANGE_11_50;Pekamix Global;;;;;;;;;;;;;COM-000001;5;COMPANY;International Company;;;;;;;
Centers for Medicare & Medicaid Services (CMS);centers-for-medicare-medicaid-services-cms;;;;;;;"Health insurance;reimbursement;quality oversight";US$1.6T+;1977;;Baltimore;RANGE_5000_PLUS;Department of Health and Human Services (HHS);;;;Administers Social Security retirement, disability, and survivor benefits;;;;;;;;;SER-000002;Medicare Program, Medicaid, CHIP, Health Insurance Marketplace, Innovation Center (CMMI);GOVERNMENT;;;;;;;;
Veterans Health Administration (VHA);veterans-health-administration-vha;;;;;;;"Healthcare;mental health;rehabilitation;pharmacy";US$130B+;1946;;;RANGE_5000_PLUS;Department of Veterans Affairs (VA);;;;Coordinates disaster preparedness, response, recovery, and mitigation;;;;;;;;;SER-000006;Veterans Integrated Service Networks (VISNs), VA Medical Centers, Community-Based Outpatient Clinics;GOVERNMENT;;;;;;;;
Federal Emergency Management Agency (FEMA);federal-emergency-management-agency-fema;;;;;;;"Disaster assistance;emergency preparedness;grants";US$30B+ (varies with disasters);1979;;;RANGE_5000_PLUS;Department of Homeland Security (DHS);;;;Processes immigration and naturalization benefits;;;;;;;;;SER-000005;National Flood Insurance Program, Individual Assistance, Public Assistance, Hazard Mitigation Grant Program;GOVERNMENT;;;;;;;;
Operations Directorate;operations-directorate;;;;;;;;US$10B+ (program dependent);1979;;;RANGE_5000_PLUS;Federal Emergency Management Agency (FEMA);;;;Funds engineering research and innovation;;;;;;;;"Disaster response;emergency coordination;logistics;recovery operations";DIR-000007;National Response Coordination Center, Regional Offices, Logistics Management Directorate;GOVERNMENT;;;;;;;;
Federal Aviation Administration (FAA);federal-aviation-administration-faa;;;;;;;"Air traffic control;aviation safety;airport grants";US$20B+;1958;;;RANGE_5000_PLUS;Department of Transportation (DOT);;;;Manages U.S. national parks and historic sites;;;;;;;;;SER-000008;Air Traffic Organization, Aviation Safety, Airports Program, Commercial Space Transportation;GOVERNMENT;;;;;;;;
Internal Revenue Service (IRS);internal-revenue-service-irs;;;;;;;"Tax collection;refunds;taxpayer assistance;enforcement";US$14B+ (operations);1862;;;RANGE_5000_PLUS;Department of the Treasury;;;;Administers Medicare, Medicaid, CHIP, and health insurance marketplace programs;;;;;;;;;SER-000003;Taxpayer Services, Criminal Investigation, Large Business & International, Small Business/Self-Employed;GOVERNMENT;;;;;;;;
U.S. Citizenship and Immigration Services (USCIS);u-s-citizenship-and-immigration-services-uscis;;;;;;;"Immigration benefits;naturalization;asylum;employment authorization";US$5–6B (primarily fee-funded);2003;;;RANGE_5000_PLUS;Department of Homeland Security (DHS);;;;Collects federal taxes and administers the U.S. tax system;;;;;;;;;SER-000004;Refugee Affairs, Asylum Division, Field Operations Directorate, Service Centers;GOVERNMENT;;;;;;;;
