name;serial_number;country_id;is_capital;state_province;population;number_of_multinational_hqs;number_of_airports;largest_organization;currency;median_salary;median_home_price;average_rent;cost_of_living;temperatures;climate;interesting_fact;degree_holders;number_of_universities;top_universities;number_of_nationalities;language;people_description;latitude;longitude;metadata;main_industries
Alexandroupoli;CIT-000059;GR;FALSE;;72,000 (Foreign Born: 3,000);Few;1;Port Authority, local tourism and transport companies;EUR;20000;140000;600;MEDIUM;10°C to 28°C;Mediterranean, mild winters, hot summers;Alexandroupoli is a port city near the Greek-Turkish border and is known for its seaside beauty and proximity to the Evros River;35% (Bachelor), 10% (Master), 3% (PhD);2;Democritus University of Thrace, Alexandroupoli University;15+;"GREEK;TURKISH;ENGLISH";Relaxed, coastal, and deeply tied to its maritime history;;;;
Chicago;CIT-000109;US;FALSE;Illinois;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Aley;CIT-000060;LB;FALSE;;50,000 (Foreign Born: 2,000);Few;1;Local tourism businesses, agricultural cooperatives;USD;8000;60000;250;LOW_MEDIUM;8°C to 22°C;Mediterranean, mild winters, warm summers;Aley is a popular summer resort town in the mountains of Lebanon, known for its cool climate and beautiful scenery;25% (Bachelor), 7% (Master), 2% (PhD);1;Lebanese University (Aley branch);20+;"ARABIC;FRENCH;ENGLISH";Peaceful, family-oriented, and closely connected to nature and culture;;;;
Algiers;CIT-000061;DZ;FALSE;;3.9 million (Foreign Born: 400,000);Several;1;Sonatrach, government ministries, port authorities;USD;15000;70000;300;MEDIUM;10°C to 30°C;Mediterranean, mild winters, hot summers;Algiers is the capital and largest city of Algeria, known for its rich history, architecture, and role in the Algerian War of Independence;40% (Bachelor), 15% (Master), 6% (PhD);5;University of Algiers, École Nationale Polytechnique;30+;"ARABIC;BERBER;FRENCH;ENGLISH";Modern, bustling, and proud of its historical and cultural heritage;;;;
Alicante;CIT-000062;ES;FALSE;;330,000 (Foreign Born: 30,000);Few;1;Tourism operators, shipping firms;EUR;25000;220000;800;MEDIUM;12°C to 30°C;Mediterranean, mild winters, hot summers;Alicante is a popular tourist destination known for its beaches, medieval architecture, and nightlife;40% (Bachelor), 15% (Master), 6% (PhD);3;University of Alicante, Alicante Polytechnic University;30+;"SPANISH;VALENCIAN;ENGLISH";Relaxed, coastal, and vibrant with a rich blend of history and modernity;;;;
Allen;CIT-000063;US;FALSE;;115,000 (Foreign Born: 15,000);Few;1;Raytheon, local manufacturing and retail;USD;70000;410000;1800;MEDIUM;3°C to 35°C;Humid subtropical, hot summers, mild winters;Allen is known for its large retail outlets, the Allen Event Center, and its high-quality public schools;35% (Bachelor), 10% (Master), 4% (PhD);2;University of Texas at Dallas (Allen campus), Collin College;20+;"ENGLISH;SPANISH;VIETNAMESE";Family-oriented, rapidly growing, and suburban with a strong community focus;;;;
Allentown;CIT-000064;US;FALSE;;120,000 (Foreign Born: 10,000);Few;1;Air Products, Lehigh Valley Health Network;USD;50000;200000;1000;MEDIUM;−6°C to 28°C;Humid continental, cold winters, warm summers;Allentown is known for its industrial history, including being a major steel manufacturing hub;30% (Bachelor), 10% (Master), 5% (PhD);3;Lehigh University, Muhlenberg College;20+;"ENGLISH;SPANISH;GERMAN";Historic, industrial, and evolving with a focus on education and community;;;;
Almaty;CIT-000065;KZ;FALSE;;2 million (Foreign Born: 200,000);Several;1;Halyk Bank, Air Astana, Kazakhmys;USD;12000;60000;250;LOW_MEDIUM;−10°C to 30°C;Continental, cold winters, warm summers;Almaty is Kazakhstan's largest city and a cultural and economic hub, located at the foot of the Tien Shan mountains;40% (Bachelor), 12% (Master), 5% (PhD);4;Almaty University of Power Engineering and Telecommunications, Kazakh National University;50+;"KAZAKH;RUSSIAN;ENGLISH;UZBEK";Dynamic, growing, and culturally diverse with a focus on trade and industry;;;;
Almere;CIT-000066;NL;FALSE;;220,000 (Foreign Born: 50,000);Few;1;Local construction firms, service sector;EUR;40000;400000;1400;MEDIUM_HIGH;4°C to 22°C;Temperate, cool winters, mild summers;Almere is one of the newest cities in the Netherlands, built on reclaimed land in the Zuiderzee;45% (Bachelor), 18% (Master), 7% (PhD);2;University of Applied Sciences Almere, Open University of the Netherlands;40+;"DUTCH;ENGLISH";Modern, innovative, and rapidly developing with a focus on sustainability and planning;;;;
Aloha;CIT-000067;US;FALSE;;22,000 (Foreign Born: 3,000);Few;1;Intel (nearby), local retail businesses;USD;60000;400000;1200;MEDIUM;5°C to 30°C;Temperate, cool winters, warm summers;Aloha is a suburban community located near Portland, known for its parks and proximity to the Tualatin River;32% (Bachelor), 8% (Master), 4% (PhD);1;Portland State University (Aloha campus);20+;"ENGLISH;SPANISH";Family-oriented, suburban, and community-focused with an emphasis on outdoor living;;;;
Alor Setar;CIT-000068;MY;FALSE;;400,000 (Foreign Born: 10,000);Few;1;Local manufacturing firms, agricultural businesses;USD;7000;60000;250;LOW;23°C to 33°C;Tropical, humid, monsoon seasons;Alor Setar is the capital of the Malaysian state of Kedah and is known for its historical sites and cultural heritage;28% (Bachelor), 8% (Master), 3% (PhD);3;Universiti Utara Malaysia, Kolej Universiti Islam Antarabangsa;15+;"MALAY;ENGLISH;TAMIL";Traditional, welcoming, and focused on its cultural and agricultural roots;;;;
Alpharetta;CIT-000069;US;FALSE;;70,000 (Foreign Born: 25,000);Several;1;McKesson, Verizon, multiple tech firms;USD;90000;650000;2200;MEDIUM_HIGH;2°C to 34°C;Humid subtropical, hot summers, mild winters;Alpharetta is a thriving suburban city known for its tech industry and excellent public schools;45% (Bachelor), 15% (Master), 6% (PhD);3;Georgia Institute of Technology (Alpharetta campus), Alpharetta Technical College;40+;"ENGLISH;SPANISH;KOREAN";Modern, tech-driven, and suburban with a strong focus on business and education;;;;
Alytus;CIT-000070;LT;FALSE;;50,000 (Foreign Born: 2,000);Few;1;Local manufacturing firms, logistics companies;EUR;12000;90000;300;LOW_MEDIUM;−10°C to 22°C;Continental, cold winters, mild summers;Alytus is one of Lithuania’s oldest cities, located in the south, and is known for its historical significance and natural beauty;18% (Bachelor), 4% (Master), 2% (PhD);1;Alytus College;10+;"LITHUANIAN;RUSSIAN;ENGLISH";Quiet, historical, and nature-loving with a strong sense of local pride;;;;
Amarillo;CIT-000071;US;FALSE;;200,000 (Foreign Born: 15,000);Few;1;Pantex Plant, Tyson Foods, local energy firms;USD;55000;180000;900;LOW_MEDIUM;−2°C to 34°C;Humid subtropical, cold winters, hot summers;Amarillo is known as the “Helium Capital of the World” and is a key stop on the historic Route 66;30% (Bachelor), 7% (Master), 3% (PhD);2;West Texas A&M University, Amarillo College;10+;"ENGLISH;SPANISH;VIETNAMESE";Friendly, resilient, and deeply connected to its agricultural and historical roots;;;;
Ambato;CIT-000072;EC;FALSE;;350,000 (Foreign Born: 8,000);Few;1;Local textile firms, agricultural businesses;USD;7000;40000;150;LOW;5°C to 23°C;Temperate, cool winters, mild summers;"Ambato is known as the ""Fruit Capital of Ecuador"" and is famous for its annual Carnival";25% (Bachelor), 6% (Master), 2% (PhD);2;Technical University of Ambato, Central University of Ecuador (Ambato campus);10+;"SPANISH;QUECHUA";Friendly, agricultural, and proud of its cultural traditions;;;;
Ambon;CIT-000073;ID;FALSE;;340,000 (Foreign Born: 10,000);Few;1;Local fishing companies, tourism operators;USD;5000;25000;100;LOW;24°C to 31°C;Tropical, humid, monsoon seasons;Ambon is the capital of Maluku Province and has a rich history tied to its spice trade legacy;20% (Bachelor), 5% (Master), 2% (PhD);2;Pattimura University, Ambon State Polytechnic;15+;"INDONESIAN;AMBONESE_MALAY;ENGLISH";Coastal, warm-hearted, and deeply connected to its maritime history;;;;
Amersfoort;CIT-000074;NL;FALSE;;160,000 (Foreign Born: 40,000);Few;1;Local service firms, education institutions;EUR;45000;400000;1200;MEDIUM_HIGH;2°C to 22°C;Temperate, cool winters, mild summers;Amersfoort is a historic city known for its medieval architecture, including the Koppelpoort gate;40% (Bachelor), 15% (Master), 5% (PhD);2;University of Amersfoort, Utrecht University (Amersfoort campus);20+;"DUTCH;ENGLISH";Historic, peaceful, and culturally rich with a focus on sustainability;;;;
Ames;CIT-000075;US;FALSE;;66,000 (Foreign Born: 8,000);Few;1;Iowa State University, biotech firms;USD;50000;280000;900;MEDIUM;−6°C to 30°C;Humid continental, cold winters, warm summers;Ames is home to Iowa State University and has a strong focus on research and agriculture;50% (Bachelor), 20% (Master), 8% (PhD);3;Iowa State University, Des Moines Area Community College;10+;"ENGLISH;SPANISH;SOMALI";Academic, innovative, and centered around research and education;;;;
Amherst town;CIT-000076;US;FALSE;;130,000 (Foreign Born: 20,000);Few;1;University at Buffalo, Kaleida Health;USD;55000;300000;1000;MEDIUM;−6°C to 27°C;Humid continental, cold winters, warm summers;Amherst is a suburban town near Buffalo, known for its parks and educational institutions;40% (Bachelor), 15% (Master), 7% (PhD);3;University at Buffalo, SUNY College at Buffalo;30+;"ENGLISH;SPANISH;POLISH";Suburban, family-friendly, and with a strong focus on education and green spaces;;;;
Amman;CIT-000077;JO;FALSE;;4 million (Foreign Born: 1 million);Few;1;Arab Bank, Zain Jordan, government ministries;USD;10000;50000;250;MEDIUM;8°C to 30°C;Mediterranean, mild winters, hot summers;Amman is the capital of Jordan, known for its ancient history and vibrant cultural scene;35% (Bachelor), 12% (Master), 5% (PhD);5;University of Jordan, Jordan University of Science & Technology;50+;"ARABIC;ENGLISH;FRENCH";Modern, bustling, and deeply connected to both history and progress;;;;
Amstelveen;CIT-000078;NL;FALSE;;90,000 (Foreign Born: 35,000);Several;1;Philips, Cisco Systems, local finance and IT firms;EUR;50000;450000;1200;MEDIUM_HIGH;4°C to 22°C;Temperate, cool winters, mild summers;Amstelveen is known for its green spaces and proximity to Amsterdam, making it a peaceful suburban area;45% (Bachelor), 20% (Master), 8% (PhD);2;Vrije Universiteit Amsterdam, Amsterdam University of Applied Sciences;40+;"DUTCH;ENGLISH";Quiet, suburban, and green with a focus on sustainability and family life;;;;
Amsterdam;CIT-000079;NL;FALSE;;870,000 (Foreign Born: 350,000);Many;1;ING Group, Booking.com, Philips, Heineken;EUR;60000;650000;1800;HIGH;5°C to 22°C;Temperate, cool winters, mild summers;Amsterdam is the capital of the Netherlands, famous for its canals, museums, and historical architecture;50% (Bachelor), 25% (Master), 15% (PhD);15;University of Amsterdam, Vrije Universiteit Amsterdam;100+;"DUTCH;ENGLISH;ARABIC;SPANISH";Progressive, artistic, and cosmopolitan with a rich cultural heritage;;;;
Anaheim;CIT-000080;US;FALSE;;350,000 (Foreign Born: 90,000);Several;1;Disneyland Resort, Honda, local manufacturing;USD;65000;750000;2200;HIGH;10°C to 30°C;Mediterranean, mild winters, hot summers;Anaheim is home to Disneyland Resort and is known for its theme parks and entertainment industry;40% (Bachelor), 15% (Master), 7% (PhD);4;California State University, Fullerton, Chapman University;50+;"ENGLISH;SPANISH;KOREAN";Fun-loving, family-oriented, and entertainment-driven with a focus on tourism;;;;
Anchorage;CIT-000081;US;FALSE;;290,000 (Foreign Born: 20,000);Few;1;ConocoPhillips Alaska, Alaska Airlines, military bases;USD;70000;350000;1500;HIGH;−10°C to 20°C;Subarctic, cold winters, mild summers;Anchorage is the largest city in Alaska, known for its stunning natural beauty and wildlife;30% (Bachelor), 10% (Master), 5% (PhD);3;University of Alaska Anchorage, Alaska Pacific University;15+;"ENGLISH;RUSSIAN;TAGALOG";Adventurous, resilient, and deeply connected to nature and the outdoors;;;;
Anderson;CIT-000082;US;FALSE;;55,000 (Foreign Born: 2,000);Few;1;General Motors (historic), local healthcare providers;USD;45000;130000;700;LOW_MEDIUM;−5°C to 28°C;Humid continental, cold winters, warm summers;Anderson is known for its automotive industry history and its annual Madison County Fair;20% (Bachelor), 5% (Master), 2% (PhD);1;Anderson University;10+;"ENGLISH;SPANISH";Suburban, hardworking, and community-focused with a small-town feel;;;;
Andijan;CIT-000083;UZ;FALSE;;450,000 (Foreign Born: 15,000);Few;1;Textile mills, agricultural enterprises;USD;6000;15000;100;LOW;10°C to 35°C;Continental, hot summers, cold winters;Andijan is a major city in eastern Uzbekistan, known for its historical sites and agricultural products;18% (Bachelor), 5% (Master), 2% (PhD);1;Andijan State University;5+;"UZBEK;RUSSIAN;KYRGYZ";Friendly, agricultural, and steeped in history with a focus on family;;;;
Angeles City;CIT-000084;PH;FALSE;;450,000 (Foreign Born: 20,000);Few;1;Resorts, retail businesses;USD;5500;25000;150;LOW;22°C to 34°C;Tropical, humid, monsoon seasons;Angeles City is famous for its nightlife, entertainment industry, and historical significance during the American colonial period;25% (Bachelor), 8% (Master), 3% (PhD);3;Angeles University Foundation, University of the Philippines (Angeles campus);15+;"FILIPINO;ENGLISH;KAPAMPANGAN";Lively, entertainment-oriented, and hospitality-driven with a mix of cultures;;;;
Angers;CIT-000085;FR;FALSE;;150,000 (Foreign Born: 10,000);Few;1;Tech firms, University of Angers;EUR;35000;320000;1100;MEDIUM;5°C to 20°C;Oceanic, mild winters, cool summers;Angers is known for its medieval architecture, the Château d'Angers, and its wine production;35% (Bachelor), 12% (Master), 5% (PhD);4;University of Angers, Centrale Nantes (Angers campus);30+;"FRENCH;ENGLISH;SPANISH";Historic, artistic, and vibrant with a strong academic and cultural presence;;;;
Angra do Heroísmo;CIT-000086;PT;FALSE;;35,000 (Foreign Born: 4,000);Few;1;Tourism operators, local agriculture;EUR;20000;180000;650;LOW_MEDIUM;14°C to 24°C;Mediterranean, mild winters, warm summers;Angra do Heroísmo is a UNESCO World Heritage site known for its colonial architecture and rich maritime history;30% (Bachelor), 8% (Master), 3% (PhD);2;University of the Azores, Angra Polytechnic Institute;10+;"PORTUGUESE;ENGLISH;SPANISH";Historic, picturesque, and community-oriented with a laid-back coastal vibe;;;;
Ankara;CIT-000087;TR;FALSE;;5.1 million (Foreign Born: 500,000);Several;1;Turkish government, ASELSAN, Hacettepe University;EUR;15000;90000;400;MEDIUM;−4°C to 30°C;Continental, cold winters, hot summers;Ankara is the capital of Turkey and is known for its political and historical significance;40% (Bachelor), 15% (Master), 6% (PhD);6;Middle East Technical University, Ankara University;50+;"TURKISH;ENGLISH;KURDISH";Political, modern, and intellectual with a strong cultural heritage;;;;
Pasadena;CIT-000108;US;FALSE;California;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Ankeny;CIT-000088;US;FALSE;;70,000 (Foreign Born: 5,000);Few;1;Local manufacturing firms, retail chains;USD;55000;320000;1000;MEDIUM;−8°C to 29°C;Humid continental, cold winters, warm summers;Ankeny is a growing suburb of Des Moines, known for its parks and vibrant local community;30% (Bachelor), 8% (Master), 3% (PhD);1;Des Moines Area Community College (Ankeny campus);10+;"ENGLISH;SPANISH";Suburban, family-oriented, and centered around local development and community;;;;
Ann Arbor;CIT-000089;US;FALSE;;120,000 (Foreign Born: 25,000);Few;1;University of Michigan, healthcare, tech startups;USD;75000;450000;1800;HIGH;−6°C to 29°C;Humid continental, cold winters, warm summers;Ann Arbor is home to the University of Michigan and is known for its strong focus on education, culture, and technology;55% (Bachelor), 20% (Master), 10% (PhD);8;University of Michigan, Concordia University Ann Arbor;40+;"ENGLISH;SPANISH;CHINESE_MANDARIN";Academic, innovative, and vibrant with a progressive, intellectual atmosphere;;;;
Annaba;CIT-000090;DZ;FALSE;;250,000 (Foreign Born: 20,000);Few;1;ArcelorMittal Annaba, port authorities;USD;12000;50000;250;MEDIUM;14°C to 30°C;Mediterranean, mild winters, hot summers;Annaba is an important port city in Algeria, known for its beaches and the ancient ruins of Hippone;28% (Bachelor), 10% (Master), 4% (PhD);2;University of Annaba, High Institute of Business Management;15+;"ARABIC;BERBER;FRENCH;ENGLISH";Historic, coastal, and deeply rooted in its cultural and economic significance;;;;
Annecy;CIT-000091;FR;FALSE;;130,000 (Foreign Born: 15,000);Few;1;Tourism operators, tech startups;EUR;40000;450000;1400;HIGH;5°C to 20°C;Oceanic, mild winters, cool summers;Annecy is known for its stunning lakeside scenery, medieval old town, and proximity to the Alps;40% (Bachelor), 15% (Master), 6% (PhD);3;University of Savoie Mont Blanc, ESIGEC Annecy;30+;"FRENCH;ENGLISH;ITALIAN";Scenic, relaxed, and outdoorsy with a focus on tourism and cultural heritage;;;;
Ansan;CIT-000092;KR;FALSE;;700,000 (Foreign Born: 100,000);Several;1;Samsung, LG Chem, local manufacturing;USD;32000;180000;700;MEDIUM;−5°C to 30°C;Continental, cold winters, hot summers;Ansan is a major industrial city and a hub for technology and manufacturing in South Korea;40% (Bachelor), 12% (Master), 5% (PhD);3;University of Incheon, Ansan University;20+;"KOREAN;ENGLISH";Industrial, innovative, and diverse with a strong focus on technology;;;;
Antalya;CIT-000093;TR;FALSE;;1.3 million (Foreign Born: 80,000);Few;1;Tourism operators, local agriculture;EUR;10000;80000;350;LOW_MEDIUM;10°C to 30°C;Mediterranean, mild winters, hot summers;Antalya is a famous resort city on the Turkish Riviera, known for its beaches, luxury resorts, and historical sites;35% (Bachelor), 10% (Master), 4% (PhD);4;Akdeniz University, Antalya Bilim University;30+;"TURKISH;ENGLISH;GERMAN";Coastal, relaxed, and tourist-focused with a strong connection to nature;;;;
Antioch;CIT-000094;US;FALSE;;115,000 (Foreign Born: 30,000);Few;1;Manufacturing firms, retail chains;USD;65000;650000;2100;MEDIUM_HIGH;4°C to 34°C;Mediterranean, hot summers, mild winters;Antioch is located in the East Bay region of the San Francisco Bay Area, known for its historic downtown and access to outdoor recreation;30% (Bachelor), 8% (Master), 3% (PhD);2;California State University East Bay (Antioch campus), Diablo Valley College;20+;"ENGLISH;SPANISH;TAGALOG";Suburban, family-oriented, and focused on growth and community development;;;;
Antofagasta;CIT-000095;CL;FALSE;;400,000 (Foreign Born: 25,000);Few;1;Antofagasta Minerals, port authorities;USD;14000;120000;500;MEDIUM;15°C to 25°C;Desert, mild winters, hot summers;Antofagasta is an important port city and mining hub, located in northern Chile;30% (Bachelor), 10% (Master), 4% (PhD);2;Universidad de Antofagasta, Instituto Profesional Los Leones;10+;"SPANISH;ENGLISH";Industrial, coastal, and focused on mining and economic development;;;;
Antwerp;CIT-000096;BE;FALSE;;530,000 (Foreign Born: 200,000);Several;1;Port of Antwerp, diamond firms, chemical manufacturers;EUR;45000;350000;1300;HIGH;4°C to 22°C;Oceanic, mild winters, cool summers;Antwerp is known for its fashion industry, diamond district, and rich cultural heritage;45% (Bachelor), 15% (Master), 8% (PhD);5;University of Antwerp, Antwerp Management School;50+;"DUTCH;FRENCH;ENGLISH;GERMAN";Fashionable, historical, and cosmopolitan with a focus on commerce and culture;;;;
Aosta;CIT-000097;IT;FALSE;;34,000 (Foreign Born: 2,000);Few;1;Tourism operators, local agriculture;EUR;30000;350000;1000;MEDIUM;−2°C to 20°C;Alpine, cold winters, mild summers;Aosta is a charming medieval town in the Italian Alps, known for its Roman architecture and ski resorts;40% (Bachelor), 12% (Master), 5% (PhD);2;University of Aosta Valley, Istituto di Istruzione Superiore;10+;"ITALIAN;FRENCH;ENGLISH";Scenic, relaxed, and closely connected to nature and history;;;;
Apex;CIT-000098;US;FALSE;;60,000 (Foreign Born: 10,000);Few;1;Cisco Systems, local tech and manufacturing firms;USD;75000;430000;1600;MEDIUM_HIGH;2°C to 31°C;Humid subtropical, hot summers, mild winters;Apex is a suburban town near Raleigh, known for its historic downtown and family-friendly atmosphere;35% (Bachelor), 10% (Master), 4% (PhD);1;Wake Technical Community College (Apex campus);20+;"ENGLISH;SPANISH;TAMIL";Suburban, family-oriented, and community-focused with a small-town vibe;;;;
Apple Valley;CIT-000099;US;FALSE;;56,000 (Foreign Born: 6,000);Few;1;Local healthcare providers, retail chains;USD;60000;340000;1200;MEDIUM;−8°C to 30°C;Humid continental, cold winters, warm summers;Apple Valley is a suburban city known for its parks, family-friendly environment, and the Minnesota Zoo;40% (Bachelor), 15% (Master), 6% (PhD);2;University of Minnesota (Apple Valley campus), Dakota County Technical College;30+;"ENGLISH;SPANISH;SOMALI";Suburban, family-friendly, and growing with a focus on recreation and education;;;;
Appleton;CIT-000100;US;FALSE;;75,000 (Foreign Born: 4,000);Few;1;Paper industry, healthcare, education institutions;USD;52000;250000;900;LOW_MEDIUM;−7°C to 28°C;Humid continental, cold winters, warm summers;Appleton is known for its paper industry history and is home to Lawrence University and several cultural institutions;35% (Bachelor), 10% (Master), 5% (PhD);3;Lawrence University, Fox Valley Technical College;10+;"ENGLISH;SPANISH;HMONG";Historic, community-focused, and culturally rich with a focus on education;;;;
Cambridge;CIT-000101;US;FALSE;Massachusetts;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Stanford;CIT-000102;US;FALSE;California;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Cambridge;CIT-000103;GB;FALSE;England;;;;;GBP;;;;;;;;;;;;ENGLISH;;;;;
Berkeley;CIT-000104;US;FALSE;California;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Princeton;CIT-000105;US;FALSE;New Jersey;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
New Haven;CIT-000110;US;FALSE;Connecticut;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Los Angeles;CIT-000111;US;FALSE;California;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Seattle;CIT-000112;US;FALSE;Washington;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Ithaca;CIT-000113;US;FALSE;New York;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
San Diego;CIT-000114;US;FALSE;California;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
London;CIT-000115;GB;TRUE;England;;;;;GBP;;;;;;;;;;;;ENGLISH;;;;;
Philadelphia;CIT-000116;US;FALSE;Pennsylvania;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Baltimore;CIT-000117;US;FALSE;Maryland;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Zurich;CIT-000118;CH;FALSE;;;;;;CHF;;;;;;;;;;;;GERMAN;;;;;
St. Louis;CIT-000119;US;FALSE;Missouri;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
San Francisco;CIT-000120;US;FALSE;California;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Evanston;CIT-000121;US;FALSE;Illinois;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Toronto;CIT-000122;CA;FALSE;Ontario;;;;;CAD;;;;;;;;;;;;ENGLISH;;;;;
Tokyo;CIT-000123;JP;TRUE;;;;;;JPY;;;;;;;;;;;;JAPANESE;;;;;
Durham;CIT-000124;US;FALSE;North Carolina;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Madison;CIT-000125;US;FALSE;Wisconsin;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Copenhagen;CIT-000126;DK;TRUE;;;;;;DKK;;;;;;;;;;;;DANISH;;;;;
Vancouver;CIT-000127;CA;FALSE;British Columbia;;;;;CAD;;;;;;;;;;;;ENGLISH;;;;;
Edinburgh;CIT-000128;GB;FALSE;Scotland;;;;;GBP;;;;;;;;;;;;ENGLISH;;;;;
Chapel Hill;CIT-000129;US;FALSE;North Carolina;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Minneapolis;CIT-000130;US;FALSE;Minnesota;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Kyoto;CIT-000131;JP;FALSE;;;;;;JPY;;;;;;;;;;;;JAPANESE;;;;;
Urbana and Champaign;CIT-000132;US;FALSE;Illinois;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Manchester;CIT-000133;GB;FALSE;England;;;;;GBP;;;;;;;;;;;;ENGLISH;;;;;
Melbourne;CIT-000134;AU;FALSE;Victoria;;;;;AUD;;;;;;;;;;;;ENGLISH;;;;;
Paris;CIT-000135;FR;TRUE;;;;;;EUR;;;;;;;;;;;;FRENCH;;;;;
Orsay;CIT-000136;FR;FALSE;;;;;;EUR;;;;;;;;;;;;FRENCH;;;;;
Heidelberg;CIT-000137;DE;FALSE;Baden-Württemberg;;;;;EUR;;;;;;;;;;;;GERMAN;;;;;
Boulder;CIT-000138;US;FALSE;Colorado;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Stockholm;CIT-000139;SE;TRUE;;;;;;SEK;;;;;;;;;;;;SWEDISH;;;;;
Santa Barbara;CIT-000140;US;FALSE;California;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Utrecht;CIT-000141;NL;FALSE;;;;;;EUR;;;;;;;;;;;;DUTCH;;;;;
Dallas;CIT-000142;US;FALSE;Texas;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Beijing;CIT-000143;CN;TRUE;;;;;;CNY;;;;;;;;;;;;CHINESE_MANDARIN;;;;;
Munich;CIT-000144;DE;FALSE;;;;;;EUR;;;;;;;;;;;;GERMAN;;;;;
Austin;CIT-000145;US;FALSE;Texas;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Nashville;CIT-000146;US;FALSE;Tennessee;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
College Park;CIT-000147;US;FALSE;Maryland;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Brisbane;CIT-000148;AU;FALSE;Queensland;;;;;AUD;;;;;;;;;;;;ENGLISH;;;;;
Helsinki;CIT-000149;FI;TRUE;;;;;;EUR;;;;;;;;;;;;FINNISH;;;;;
Groningen;CIT-000150;NL;FALSE;;;;;;EUR;;;;;;;;;;;;DUTCH;;;;;
Geneva;CIT-000151;CH;FALSE;;;;;;CHF;;;;;;;;;;;;FRENCH;;;;;
Bristol;CIT-000152;GB;FALSE;England;;;;;GBP;;;;;;;;;;;;ENGLISH;;;;;
Oslo;CIT-000153;NO;TRUE;;;;;;NOK;;;;;;;;;;;;NORWEGIAN;;;;;
Uppsala;CIT-000154;SE;FALSE;;;;;;SEK;;;;;;;;;;;;SWEDISH;;;;;
Irvine;CIT-000155;US;FALSE;California;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Hamilton;CIT-000156;CA;FALSE;Ontario;;;;;CAD;;;;;;;;;;;;ENGLISH;;;;;
Montreal;CIT-000157;CA;FALSE;Quebec;;;;;CAD;;;;;;;;;;;;FRENCH;;;;;
Pittsburgh;CIT-000158;US;FALSE;Pennsylvania;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Ghent;CIT-000159;BE;FALSE;;;;;;EUR;;;;;;;;;;;;DUTCH;;;;;
Rochester;CIT-000160;US;FALSE;Minnesota;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Rotterdam;CIT-000161;NL;FALSE;;;;;;EUR;;;;;;;;;;;;DUTCH;;;;;
Houston;CIT-000162;US;FALSE;Texas;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Lausanne;CIT-000163;CH;FALSE;;;;;;CHF;;;;;;;;;;;;FRENCH;;;;;
West Lafayette;CIT-000164;US;FALSE;Indiana;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
New Brunswick;CIT-000165;US;FALSE;New Jersey;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Boston;CIT-000166;US;FALSE;Massachusetts;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Columbus;CIT-000167;US;FALSE;Ohio;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Sydney;CIT-000168;AU;FALSE;New South Wales;;;;;AUD;;;;;;;;;;;;ENGLISH;;;;;
Nagoya;CIT-000169;JP;FALSE;Aichi;;;;;JPY;;;;;;;;;;;;JAPANESE;;;;;
Atlanta;CIT-000170;US;FALSE;Georgia;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
University Park;CIT-000171;US;FALSE;Pennsylvania;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Davis;CIT-000172;US;FALSE;California;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Leiden;CIT-000173;NL;FALSE;;;;;;EUR;;;;;;;;;;;;DUTCH;;;;;
