name;serial_number;type;categories;description;icon_url;industry;difficulty;used_in;jobs;product_categories;common_fields_of_study;related_abilities;time_to_master;score;metadata
Blockchain for Compliance;SKI-000076;Technical Skill;Blockchain, Regulatory Technology;;;Finance, Technology, Legal, Compliance;;Finance, Compliance, Legal, Technology;Compliance Engineer, Blockchain Consultant, Regulatory Analyst;Regulatory Compliance, Smart Contracts;Computer Science, Law, Business Administration;Regulatory Frameworks, Smart Contract Development, Auditing;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Blockchain for Fraud Detection;SKI-000077;Technical Skill;Blockchain, Security, Fraud Prevention;;;Finance, Cybersecurity, Technology;;Finance, Cybersecurity, Banking;Blockchain Developer, Fraud Analyst, Security Specialist;Fraud Prevention, Transaction Monitoring;Computer Science, Cybersecurity, Finance;Transaction Analysis, Fraud Prevention, Blockchain Security;1-2 years (intermediate expertise);;
Blockchain Integration;SKI-000078;Technical Skill;Blockchain, Software Engineering;;;Technology, Finance, Supply Chain;;Finance, Technology, Supply Chain;Blockchain Integration Specialist, Software Engineer;Blockchain Solutions, Legacy System Integration;Computer Science, Engineering, Business Administration;System Integration, Blockchain APIs, Software Development;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Blockchain Platforms;SKI-000079;Technical Skill;Blockchain, Software Engineering;;;Technology, Finance, Decentralized Apps;;Finance, Technology, Decentralized Applications;Blockchain Developer, Platform Engineer, Technical Architect;Blockchain Networks, Decentralized Apps;Computer Science, Engineering, Mathematics;Blockchain Development, Network Design, Platform Architecture;1-2 years (intermediate expertise);;
Blockchain Scaling;SKI-000080;Technical Skill;Blockchain, Distributed Systems;;;Technology, Finance, Cryptocurrency;;Finance, Technology, Cryptocurrency;Blockchain Engineer, Distributed Systems Architect, Solutions Architect;Blockchain Networks, Cryptocurrencies;Computer Science, Cryptography, Mathematics;Network Optimization, Consensus Algorithms, Scaling Solutions;1-2 years (intermediate to advanced expertise);;
Blockchain Security;SKI-000081;Technical Skill;Cybersecurity, Blockchain;;;Technology, Finance, Cybersecurity;;Finance, Technology, Cryptocurrency;Blockchain Security Engineer, Security Analyst, Cryptography Expert;Secure Transactions, Smart Contracts;Computer Science, Cryptography, Cybersecurity;Encryption, Threat Detection, Security Auditing, Penetration Testing;1-2 years (intermediate to advanced expertise);;
Board-Level Debugging;SKI-000082;Technical Skill;Electronics, Embedded Systems, Debugging;;;Electronics, Telecommunications, Technology;;Electronics Manufacturing, Hardware Development;Hardware Engineer, Embedded Systems Engineer, Debugging Specialist;Circuit Debugging, Microcontrollers;Electrical Engineering, Computer Science;Signal Testing, Circuit Troubleshooting, Debugging Techniques;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Board-Level Design;SKI-000083;Technical Skill;Electronics, Hardware Engineering;;;Electronics, Automotive, Telecommunications;;Consumer Electronics, Telecommunications, Automotive;Hardware Engineer, PCB Designer, Electronics Designer;PCB Design, Embedded Systems;Electrical Engineering, Computer Engineering;Schematic Design, Signal Integrity, PCB Layout;1-2 years (intermediate to advanced expertise);;
Bonding Technology;SKI-000084;Technical Skill;Materials Science, Electronics;;;Electronics, Manufacturing;;Semiconductor Manufacturing, Electronics Assembly;Process Engineer, Materials Scientist, Electronics Engineer;Semiconductor Devices, Microelectronics;Materials Science, Electrical Engineering;Bonding Techniques, Adhesive Application, Surface Interaction;1-2 years (intermediate expertise);;
Bootloaders;SKI-000085;Technical Skill;Embedded Systems, Software Engineering;;;Electronics, Automotive, Software Development;;Firmware Development, Electronics, Automotive;Firmware Engineer, Embedded Systems Developer, Bootloader Engineer;Bootloading Software, Embedded Systems;Computer Science, Electrical Engineering;Firmware Programming, System Initialization, Low-Level Debugging;6-12 months (basic proficiency), 1 year (intermediate expertise);;
Brain Networks;SKI-000086;Scientific & Technical Skill;Neuroscience, Artificial Intelligence;;;Healthcare, AI, Research;;Healthcare, AI Research, Cognitive Science;Neuroscientist, AI Researcher, Cognitive Systems Engineer;Neural Networks, Brain Simulation;Neuroscience, AI, Computer Science;Neural Connectivity, Computational Neuroscience, Brain Mapping;2-3 years (advanced expertise);;
Brain Simulation;SKI-000087;Scientific & Technical Skill;Neuroscience, AI, Simulation;;;Healthcare, Research, AI;;Healthcare, Cognitive Science, AI Research;Neuroscientist, Simulation Scientist, Computational Neuroscientist;Brain Models, Cognitive Simulations;Neuroscience, AI, Computer Science;Neural Simulation, Cognitive Modeling, Brain Network Analysis;2-3 years (advanced expertise);;
Brand Building;SKI-000088;Business & Marketing Skill;Marketing, Branding;;;Retail, Consumer Goods, Marketing;;Consumer Goods, Digital Marketing, Retail;Brand Manager, Marketing Director, Digital Marketing Specialist;Brand Strategy, Marketing Campaigns;Marketing, Business Administration, Communications;Market Research, Content Creation, Audience Engagement;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Brand Development;SKI-000089;Business & Marketing Skill;Marketing, Branding, Strategy;;;Retail, Advertising, Consumer Goods;;Advertising, Retail, Consumer Goods;Brand Strategist, Marketing Manager, Product Manager;Brand Positioning, Product Identity;Marketing, Business Administration, Communications;Brand Strategy, Customer Insights, Competitive Analysis;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Burn-In Testing;SKI-000090;Technical Skill;Quality Assurance, Testing;;;Electronics, Automotive, Manufacturing;;Electronics, Manufacturing, Automotive;Test Engineer, QA Engineer, Manufacturing Specialist;Product Testing, Reliability Evaluation;Electrical Engineering, Mechanical Engineering;Stress Testing, System Testing, Failure Prediction;6-12 months (basic proficiency), 1 year (intermediate expertise);;
Bus Architectures;SKI-000091;Technical Skill;Computer Architecture, Hardware Design;;;Electronics, Technology, Embedded Systems;;Electronics, Computer Science, Embedded Systems;Systems Architect, Hardware Engineer, Embedded Systems Designer;Computer Systems, Microprocessor Design;Computer Engineering, Electrical Engineering;Data Transfer Optimization, Hardware Design, System Architecture;1-2 years (intermediate expertise);;
Business Continuity Planning;SKI-000092;Business & Organizational Skill;Risk Management, Business Strategy;;;IT, Healthcare, Government, Corporate;;IT, Healthcare, Corporate, Government;Business Continuity Planner, Risk Manager, Operations Manager;Continuity Plans, Disaster Recovery;Business Administration, Risk Management, IT Management;Crisis Management, Risk Analysis, Strategic Planning;6-12 months (basic proficiency), 1 year (intermediate expertise);;
C Programming;SKI-000093;Technical Skill;Software Development, Programming;;;Technology, Electronics, Software Development;;Software Development, Embedded Systems;Software Developer, Embedded Systems Engineer, Programmer;Applications, Firmware, Systems Software;Computer Science, Software Engineering;Algorithm Development, Memory Management, System-Level Programming;6-12 months (basic proficiency), 1 year (intermediate expertise);;
C/C++ Programming;SKI-000094;Technical Skill;Software Development, Programming;;;Technology, Gaming, Electronics, Software;;Software Development, Embedded Systems, Game Development;Software Developer, Game Developer, Systems Programmer;Applications, Game Engines, Systems Software;Computer Science, Software Engineering;Memory Management, Object-Oriented Programming, Multi-threading;1 year (intermediate expertise);;
C/C++/Fortran Programming;SKI-000095;Technical Skill;Software Development, Programming;;;Technology, Science, Research;;High-Performance Computing, Embedded Systems;HPC Developer, Embedded Systems Engineer, Programmer;Simulation Software, Scientific Applications;Computer Science, Engineering, Computational Science;Numerical Methods, Performance Optimization, Parallel Programming;1-2 years (intermediate to advanced expertise);;
C/C++/Python Programming;SKI-000096;Technical Skill;Software Development, Programming;;;Technology, Data Science, Gaming, Software;;Software Development, Data Science, Game Development;Software Developer, Data Scientist, Game Programmer;Applications, Data Analysis, Game Development;Computer Science, Software Engineering, Data Science;Object-Oriented Programming, Algorithm Design, Data Structures;1-2 years (intermediate to advanced expertise);;
C++/Java Programming;SKI-000097;Technical Skill;Software Development, Programming;;;Technology, Software, Mobile Development;;Software Development, Web Development, Mobile Apps;Software Developer, Mobile App Developer, Web Developer;Applications, Web Apps, Mobile Apps;Computer Science, Software Engineering;Object-Oriented Programming, Cross-platform Development, Web Development;1-2 years (intermediate expertise);;
C++/Java/Python Programming;SKI-000098;Technical Skill;Software Development, Programming;;;Technology, Data Science, Software Development;;Software Development, Data Science, Web Development;Software Developer, Data Scientist, Web Developer;Applications, Data Analysis, Web Development;Computer Science, Software Engineering, Data Science;Object-Oriented Programming, Full-stack Development, Data Structures;2-3 years (advanced expertise);;
C++/Python Programming;SKI-000099;Technical Skill;Software Development, Programming;;;Technology, Software, Data Science;;Software Development, Data Science, Embedded Systems;Software Developer, Data Scientist, Embedded Systems Engineer;Applications, Machine Learning, Embedded Systems;Computer Science, Software Engineering, Data Science;Data Structures, Algorithm Optimization, Embedded Programming;1-2 years (intermediate to advanced expertise);;
C++/Python/Java Programming;SKI-000100;Technical Skill;Software Development, Programming;;;Technology, Software, Data Science;;Software Development, Data Science, AI;Software Developer, Data Scientist, AI Engineer;Applications, Data Analysis, AI Development;Computer Science, Software Engineering, Data Science;Object-Oriented Programming, Full-stack Development, Machine Learning;2-3 years (advanced expertise);;
