name;slug;ownership;mission;known_for;project;research_areas;products;services;budget;founded;score;city_name;numberOfEmployees;parent_organization_name;metadata;authority;collections;description;facilities;founders;jurisdiction;members;offices;partners;personnel;programs_activities;serial_number;subsidiaries;subtype;type1;type2;student_count;undergraduates;postgraduates;countries;industries;working_area_cities
Directorate for Biological Sciences (BIO);directorate-for-biological-sciences-bio;;;;;;;;US$1B+;1970s;;Alexandria, Virginia;~350;National Science Foundation;;;;Funds research on Earth, oceans, atmosphere, and polar science;;;;;;;;Genetics, ecology, molecular biology, neuroscience, biodiversity;DIR-000005;Division of Environmental Biology, Molecular & Cellular Biosciences, Integrative Organismal Systems;Government;;;;;;;;
Directorate for Engineering (ENG);directorate-for-engineering-eng;;;;;;;;US$1B+;1980;;Alexandria, Virginia;~300;National Science Foundation;;;;Supports biological research across all life sciences;;;;;;;;Advanced manufacturing, robotics, semiconductors, civil engineering;DIR-000006;"Chemical, Bioengineering, Environmental & Transport Systems; Electrical, Communications & Cyber Systems; Civil Engineering divisions";Government;;;;;;;;
Operations Directorate;operations-directorate;;;;;;;;US$10B+ (program dependent);1979;;Washington, D.C.;~5,000;Federal Emergency Management Agency (FEMA);;;;Funds engineering research and innovation;;;;;;;;Disaster response, emergency coordination, logistics, recovery operations;DIR-000007;National Response Coordination Center, Regional Offices, Logistics Management Directorate;Government;;;;;;;;
Intelligence Directorate;intelligence-directorate;;;;;;;;Classified;2003;;Washington, D.C.;~1,000;Department of Homeland Security;;;;Oversees disaster response, recovery, and emergency operations;;;;;;;;Intelligence analysis, information sharing, threat assessments;DIR-000008;Office of Intelligence Enterprise, Field Intelligence, Intelligence Watch Centers;Government;;;;;;;;
Directorate of Operations;directorate-of-operations;;;;;;;;Classified;1973 (current structure);;Langley, Virginia;Classified;Central Intelligence Agency (CIA);;;;Integrates intelligence to support homeland security operations;;;;;;;;Human intelligence (HUMINT), covert operations, foreign intelligence;DIR-000009;Mission Centers, Regional Divisions, Special Activities elements;Government;;;;;;;;
Directorate of Digital Innovation (DDI);directorate-of-digital-innovation-ddi;;;;;;;;Classified;2015;;Langley, Virginia;Classified;Central Intelligence Agency;;;;Conducts clandestine intelligence collection and human intelligence operations;;;;;;;;Digital intelligence, AI, software engineering, cyber operations, enterprise IT;DIR-000010;Open Source Enterprise, Digital Services, Data Engineering, Enterprise IT Offices;Government;;;;;;;;
International Federation of Red Cross and Red Crescent Societies (IFRC);international-federation-of-red-cross-and-red-crescent-societies-ifrc;;;World's largest humanitarian network;;;;;Member contributions, governments, foundations, donations;1919;;Geneva, Switzerland;~800;Independent federation of National Societies;;;;Leads digital transformation, cloud computing, AI, and cyber capabilities;;;;;;United Nations, WHO, NGOs, governments;;Disaster response, health, climate resilience, humanitarian aid;CLU-000001;191 National Societies;Association;Humanitarian membership federation;;;;;;;
Institute of Electrical and Electronics Engineers (IEEE);institute-of-electrical-and-electronics-engineers-ieee;;;"Largest engineering association; develops major technology standards";;;;;Membership dues, publications, conferences, standards;1884;;Piscataway, New Jersey, USA;~1,200;Independent nonprofit;;;;;;;;;;Universities, industry, governments;;Technical standards, conferences, publications, education;CLU-000002;340+ Sections, 2,000+ Chapters;Association;Professional association;;;;;;;
Rotary International;rotary-international;;;Global polio eradication efforts and community service;;;;;Membership dues, Rotary Foundation, donations;1905;;Evanston, Illinois, USA;~800;Independent nonprofit;;;;;;;;;;WHO, UNICEF, Gates Foundation;;Community service, education, health, peace initiatives;CLU-000003;46,000+ Clubs;Association;Service organization;;;;;;;
World Organization of the Scout Movement (WOSM);world-organization-of-the-scout-movement-wosm;;;Largest global scouting movement;;;;;Membership fees, grants, donations;1922;;Kuala Lumpur, Malaysia;~300;Independent membership organization;;;;;;;;;;UNESCO, UNICEF, governments;;Youth leadership, outdoor education, citizenship;CLU-000004;176 National Scout Organizations;Association;Youth organization;;;;;;;
International Air Transport Association (IATA);international-air-transport-association-iata;;;Global airline standards and coordination;;;;;Membership fees, commercial services, training;1945;;Montreal, Canada (Executive Office: Geneva, Switzerland);~1,600;Independent;;;;;;;;;;ICAO, airports, airlines;;Aviation standards, safety, training, settlement systems;CLU-000005;300+ Member Airlines;Association;Trade association;;;;;;;
World Medical Association (WMA);world-medical-association-wma;;;Declaration of Helsinki and global medical ethics;;;;;Membership fees, grants;1947;;Ferney-Voltaire, France;~50;Federation of National Medical Associations;;;;;;;;;;WHO, national medical associations;;Medical ethics, policy, advocacy;CLU-000006;115+ National Medical Associations;Association;Professional association;;;;;;;
International Bar Association (IBA);international-bar-association-iba;;;World's leading organization for legal professionals;;;;;Membership dues, events, sponsorships;1947;;London, United Kingdom;~150;Independent;;;;;;;;;;UN, law societies, bar associations;;Legal conferences, rule of law, publications;CLU-000007;Members in 170+ countries;Association;Professional association;;;;;;;
World Association of Girl Guides and Girl Scouts (WAGGGS);world-association-of-girl-guides-and-girl-scouts-wagggs;;;Largest organization dedicated to girls' leadership;;;;;Membership fees, grants, philanthropy;1928;;London, United Kingdom;~150;Independent membership organization;;;;;;;;;;UN Women, UNICEF;;Leadership, education, gender equality;CLU-000008;153 Member Organizations;Association;Youth organization;;;;;;;
International Council of Museums (ICOM);international-council-of-museums-icom;;;Global museum standards and Code of Ethics;;;;;Membership dues, grants, UNESCO support;1946;;Paris, France;~100;Independent NGO;;;;;;;;;;UNESCO, museums worldwide;;Museum standards, ethics, training, cultural heritage;CLU-000009;120+ National Committees, 30+ International Committees;Association;Professional association;;;;;;;
Association for Computing Machinery (ACM);association-for-computing-machinery-acm;;;World's largest educational and scientific computing society;;;;;Membership dues, publications, conferences;1947;;New York City, USA;~250;Independent nonprofit;;;;;;;;;;Universities, IEEE, industry;;Computing research, journals, conferences, education;CLU-000010;180+ Local Chapters, 800+ Student Chapters;Association;Professional association;;;;;;;
Embassy of the United States in Japan;embassy-of-the-united-states-in-japan;;;;;;;Visa processing, passport services, citizen assistance, trade promotion, cultural exchange;;1859;;Tokyo, Japan;;U.S. Department of State;;;;Represents the United States in Japan and manages diplomatic, political, economic, and consular relations.;;;;;;;;;EMB-000001;;Embassy;;;;;;Japan;;
Embassy of Japan in the United States;embassy-of-japan-in-the-united-states;;;;;;;Visa services, passport renewal, cultural diplomacy, trade and investment support;;1860;;Washington, D.C., United States;;Ministry of Foreign Affairs of Japan;;;;Serves as Japan's primary diplomatic mission in the United States, strengthening bilateral relations.;;;;;;;;;EMB-000002;;Embassy;;;;;;United States;;
Embassy of the United Kingdom in France;embassy-of-the-united-kingdom-in-france;;;;;;;Consular assistance, visa information, trade support, political cooperation;;1814;;Paris, France;;Foreign, Commonwealth & Development Office (FCDO);;;;Represents the United Kingdom in France and provides services to British nationals while promoting UK interests.;;;;;;;;;EMB-000003;;Embassy;;;;;;France;;
Embassy of Germany in Canada;embassy-of-germany-in-canada;;;;;;;Passport and visa services, cultural programs, economic cooperation, consular assistance;;1951;;Ottawa, Canada;;Federal Foreign Office of Germany;;;;Promotes diplomatic, economic, and cultural relations between Germany and Canada.;;;;;;;;;EMB-000004;;Embassy;;;;;;Canada;;
Embassy of Australia in Indonesia;embassy-of-australia-in-indonesia;;;;;;;Consular services, visa information, development cooperation, trade and education support;;1950;;Jakarta, Indonesia;;Department of Foreign Affairs and Trade (DFAT);;;;Represents Australia in Indonesia and works to strengthen diplomatic, security, and economic partnerships.;;;;;;;;;EMB-000005;;Embassy;;;;;;Indonesia;;
U.S. Chamber of Commerce;u-s-chamber-of-commerce;;To advance economic growth and support American businesses.;;;;;Business advocacy, policy research, networking, training, legal support;;1912;;Washington, D.C., United States;;Independent Business Organization;;;;Represents businesses of all sizes and advocates for pro-business policies in the United States.;;;United States;Over 3 million businesses;;;;;CHA-000001;;Chamber of Commerce;National Chamber of Commerce;;;;;;Business & Trade;
British Chambers of Commerce (BCC);british-chambers-of-commerce-bcc;;To help businesses grow and influence economic policy.;;;;;Business networking, export assistance, policy advocacy, training;;1860;;London, England, United Kingdom;;Independent Membership Organization;;;;A network of accredited chambers supporting businesses across the UK and internationally.;;;United Kingdom;Over 50 accredited chambers and thousands of businesses;;;;;CHA-000002;;Chamber of Commerce;National Chamber Network;;;;;;Business & Trade;
Singapore Chinese Chamber of Commerce & Industry (SCCCI);singapore-chinese-chamber-of-commerce-industry-sccci;;To foster business excellence and strengthen commercial ties.;;;;;Trade promotion, business networking, education, arbitration;;1906;;Singapore;;Independent Business Association;;;;Promotes trade, industry, and entrepreneurship while supporting the Singapore business community.;;;Singapore;More than 5,000 corporate and individual members;;;;;CHA-000003;;Chamber of Commerce;Chamber of Commerce;;;;;;Commerce & Industry;
Dubai Chamber of Commerce;dubai-chamber-of-commerce;;To create a favorable business environment and enhance Dubai's global competitiveness.;;;;;Trade facilitation, business registration support, networking, market intelligence;;1965;;Dubai, United Arab Emirates;;Dubai Chambers;;;;Supports businesses operating in Dubai and promotes international trade and investment.;;;Emirate of Dubai, United Arab Emirates;Over 250,000 member companies;;;;;CHA-000004;;Chamber of Commerce;Chamber of Commerce;;;;;;Trade & Business Development;
Indian Chamber of Commerce (ICC);indian-chamber-of-commerce-icc;;To strengthen Indian industry and facilitate sustainable economic growth.;;;;;Business advocacy, conferences, trade promotion, policy consultation;;1925;;Kolkata, India;;Independent Business Organization;;;;One of India's oldest national chambers, promoting industry, commerce, and economic development.;;;India;Thousands of businesses across multiple sectors;;;;;CHA-000005;;Chamber of Commerce;Chamber of Commerce;;;;;;Business & Industry;
New York City Government;new-york-city-government;;;"Largest municipal government in the U.S.; extensive public services";;;;;Approximately US$112 billion (FY 2025);1898;;New York City, United States;~300,000 employees;UK Government (Department for Culture, Media and Sport);;;;Governs New York City's five boroughs and delivers essential public services.;;;;;;State of New York, federal agencies, nonprofit organizations, private sector;;Public safety, education, transportation, housing, sanitation, public health, parks;CIT-000001;Police, Fire, Education, Health, Transportation, Parks, Sanitation;City Government;Municipal Government;;;;;;;
Tokyo Metropolitan Government;tokyo-metropolitan-government;;;Efficient urban management and disaster preparedness;;;;;Approximately ¥8.5 trillion (FY 2025);1943;;Tokyo, Japan;~170,000 employees;French Ministry of Culture;;;;Administers Tokyo's 23 special wards, cities, towns, and villages while coordinating regional development.;;;;;;Government of Japan, local municipalities, universities, businesses;;Urban planning, disaster management, public transportation, environmental protection, education;CIT-000002;Transportation, Health, Education, Construction, Environment, Finance;City Government;Metropolitan Government;;;;;;;
City of London Corporation;city-of-london-corporation;;;Governance of London's historic financial district;;;;;Approximately £1.8 billion (annual combined spending);1067;;London, United Kingdom;~4,000 employees;Private nonprofit organization;;;;Manages the Square Mile, supporting financial services while providing local government functions.;;;;;;UK Government, financial institutions, cultural organizations;;Economic development, planning, policing, cultural heritage, markets, public spaces;CIT-000003;Finance, Planning, Markets, Environment, Culture, City Services;City Government;Municipal Government;;;;;;;
City of Sydney Council;city-of-sydney-council;;;Sustainability initiatives and smart city programs;;;;;Approximately A$800 million (annual budget);1842;;Sydney, Australia;~2,000 employees;Smithsonian Institution;;;;Governs central Sydney and delivers services for residents, businesses, and visitors.;;;;;;New South Wales Government, local businesses, community organizations;;Waste management, urban planning, libraries, parks, sustainability, community development;CIT-000004;Community Services, Planning, Infrastructure, Sustainability, Finance;City Government;Local Government;;;;;;;
City of Toronto Government;city-of-toronto-government;;;North America's fourth-largest city government by population served;;;;;Approximately C$17 billion (annual operating and capital budget);1998;;Toronto, Canada;~38,000 employees;Ministry of Culture of the Russian Federation;;;;Provides municipal services and oversees infrastructure, transit, and community programs across Toronto.;;;;;;Government of Ontario, Government of Canada, public agencies, nonprofits;;Public transit, housing, emergency services, recreation, infrastructure, public health;CIT-000005;Public Health, Transit, Housing, Parks, Emergency Services, Finance;City Government;Municipal Government;;;;;;;
Federal Reserve System;federal-reserve-system;;;;;;;;;1913;;Washington, D.C., United States;~24,000;Mayo Clinic Health System;;;;The central banking system of the United States responsible for monetary policy, financial stability, and banking supervision.;;;;;;;;;CEN-000001;12 Federal Reserve Banks, Federal Open Market Committee (FOMC), Federal Reserve Board;Central Bank;;United States Dollar (USD);;;;United States;;
European Central Bank (ECB);european-central-bank-ecb;;;;;;;;;1998;;Frankfurt, Germany;~5,000;Cleveland Clinic Foundation;;;;Manages monetary policy for countries using the euro and supervises significant banks in the Eurozone.;;;;;;;;;CEN-000002;Single Supervisory Mechanism (SSM), European System of Central Banks (ESCB);Central Bank;;Euro (EUR);;;;European Union (Eurozone);;
Bank of England;bank-of-england;;;;;;;;Approximately US$7.5 billion (annual operating expenses);1694;;London, United Kingdom;~5,000;Johns Hopkins Medicine;;;;The UK's central bank responsible for monetary policy, financial stability, and issuance of banknotes in England and Wales.;;;United States;;;;;;CEN-000003;Prudential Regulation Authority (PRA), Monetary Policy Committee (MPC), Financial Policy Committee (FPC);Central Bank;;Pound Sterling (GBP);;;;United Kingdom;;
Bank of Japan;bank-of-japan;;;;;;;;Approximately €1.3 billion (annual budget);1882;;Tokyo, Japan;~4,600;Mass General Brigham;;;;Oversees Japan's monetary policy, issues currency, and maintains financial system stability.;;;Eurozone;;;;;;CEN-000004;Head Office, 32 Branches, 14 Local Offices;Central Bank;;Japanese Yen (JPY);;;;Japan;;
Reserve Bank of Australia (RBA);reserve-bank-of-australia-rba;;;;;;;;Approximately £900 million (annual operating budget);1960;;Sydney, Australia;~1,500;Freie Universität Berlin & Humboldt-Universität zu Berlin;;;;Australia's central bank responsible for monetary policy, financial system stability, and issuance of banknotes.;;;United Kingdom;;;;;;CEN-000005;Payments System Board, Note Issue Department, Banking Department;Central Bank;;Australian Dollar (AUD);;;;Australia;;
Eton College;eton-college;;;;;;;;Approximately ¥250 billion (annual operating budget);1440;;Windsor, Berkshire, England;~160 teachers;;;;;One of the world’s most prestigious boarding schools, known for academic excellence, leadership development, and a long history of notable alumni.;;;Japan;~1,300 students;;;;;SEC-000001;;Secondary Schools;Secondary Education (ages 13–18);;;;;;;
Phillips Exeter Academy;phillips-exeter-academy;;;;;;;;Approximately A$600 million (annual operating budget);1781;;Exeter, New Hampshire, USA;~200 teachers;;;;;A highly selective private boarding school famous for its Harkness teaching method, strong academics, and global student community.;;;Australia;~1,100 students;;;;;SEC-000002;;Secondary Schools;Secondary Education (grades 9–12);;;;;;;
The Lawrenceville School;the-lawrenceville-school;;;;;;;;;1810;;Lawrenceville, New Jersey, USA;~200 teachers;;;;;A leading independent boarding school offering rigorous academics, athletics, arts, and leadership programs.;;;;~800 students;;;;;SEC-000003;;Secondary Schools;Secondary Education (grades 9–12);;;;;;;
Harrow School;harrow-school;;;;;;;;;1572;;Harrow, London, England;~150 teachers;;;;;A historic British boarding school recognized for academic achievement, traditions, and development of future leaders.;;;;~850 students;;;;;SEC-000004;;Secondary Schools;Secondary Education (ages 13–18);;;;;;;
United World College of South East Asia;united-world-college-of-south-east-asia;;;;;;;;;1971;;Singapore;~500 teachers;;;;;A large international school offering the International Baccalaureate curriculum with a diverse multicultural student body.;;;;~5,600 students;;;;;SEC-000005;;Secondary Schools;Secondary Education (ages 13–18);;;;;;;
The British Museum;the-british-museum;;;;;;;;;1753;;Headquarters;~1,000 employees;;;;Ancient Egyptian, Greek, Roman, Asian, African, and Middle Eastern collections;Description;;;;~8 million objects;;;~6 million;;MUS-000001;;Museum;;;;;;;;
The Louvre Museum;the-louvre-museum;;;;;;;;;1793;;London, England;~2,000 employees;;;;Paintings, sculptures, decorative arts, Islamic art, antiquities;One of the world’s oldest and most famous museums, housing human history, art, and cultural objects from around the world.;;;;~500,000 objects;;;~9 million;;MUS-000002;;Museum;;;;;;;;
The Metropolitan Museum of Art;the-metropolitan-museum-of-art;;;;;;;;;1870;;Paris, France;~2,000 employees;;;;American, European, Asian, African, Islamic, and ancient art;The world’s largest art museum, famous for masterpieces such as the Mona Lisa and extensive historical collections.;;;;~2 million artworks;;;~5 million;;MUS-000003;;Museum;;;;;;;;
Smithsonian National Museum of Natural History;smithsonian-national-museum-of-natural-history;;;;;;;;;1910;;New York City, USA;~500 employees;;;;Fossils, minerals, animals, plants, anthropology collections;A leading global art museum featuring works from ancient civilizations to modern art.;;;;~126 million specimens;;;~4.5 million;;MUS-000004;;Museum;;;;;;;;
State Hermitage Museum;state-hermitage-museum;;;;;;;;;1764;;Washington, D.C., USA;~2,500 employees;;;;European paintings, Russian art, antiquities, jewelry, archaeology;A major natural history museum known for research, fossils, biodiversity, and scientific collections.;;;;~3 million objects;;;~3–4 million;;MUS-000005;;Museum;;;;;;;;
Mayo Clinic;mayo-clinic;;To inspire hope and contribute to health and well-being by providing excellent care to every patient through integrated clinical practice, education, and research.;;;;;;;1889;;Saint Petersburg, Russia;~76,000 staff;;;;;One of the world’s largest museums, containing extensive art and cultural collections from many civilizations.;;;;;;;;;HOS-000001;;Hospital;Nonprofit academic medical center;;;;;;;
Cleveland Clinic;cleveland-clinic;;To provide better care for patients, improve healthcare outcomes, and advance medical knowledge through research and education.;;;;;;~£100 million+ annual operating income;1921;;Rochester, Minnesota, USA;~82,000 caregivers;;;;;A world-renowned healthcare organization known for advanced medical research, specialty care, and patient-centered treatment.;;;;;;;;;HOS-000002;;Hospital;Nonprofit academic medical center;;;;;;;
Johns Hopkins Hospital;johns-hopkins-hospital;;To improve health through patient care, research, and education while advancing medical discovery.;;;;;;~€250 million+ annual budget;1889;;Cleveland, Ohio, USA;~30,000+ employees (system-wide);;;;;A leading global hospital system recognized for cardiology, surgery, research, and innovative healthcare services.;;;;;;;;;HOS-000003;;Hospital;Teaching hospital and research center;;;;;;;
Massachusetts General Hospital;massachusetts-general-hospital;;To deliver exceptional care, educate future healthcare leaders, and advance science to improve lives.;;;;;;~$300 million+ annual operating budget;1811;;Baltimore, Maryland, USA;~30,000 employees;;;;;A prestigious academic hospital known for groundbreaking research, medical education, and complex patient care.;;;;;;;;;HOS-000004;;Hospital;Academic medical center;;;;;;;
Charité – Universitätsmedizin Berlin;charite-universitatsmedizin-berlin;;To provide outstanding healthcare, conduct innovative research, and educate the next generation of medical professionals.;;;;;;Part of Smithsonian Institution budget (~$1 billion+ total);1710;;Boston, Massachusetts, USA;~21,000 employees;;;;;One of the oldest and largest hospitals in the United States, recognized for clinical excellence and biomedical research.;;;;;;;;;HOS-000005;;Hospital;University hospital and research institution;;;;;;;
Supreme Court of the United States;supreme-court-of-the-united-states;;;;;;;;Estimated multi-billion ruble annual funding;1789;;Berlin, Germany;9 Justices;;;;;One of Europe’s largest university hospitals, combining patient care, medical education, and research.;;;United States (federal jurisdiction);;;;;;COU-000001;;Court;Supreme Court (highest court);Constitutional law, federal law, civil rights, criminal appeals, disputes between states;;;;;;
International Court of Justice;international-court-of-justice;;;;;;;;;1945;;Washington, D.C., USA;15 Judges;;;;;The highest court in the United States, responsible for interpreting the Constitution and reviewing decisions from lower courts.;;;United Nations member states;;;;;;COU-000002;;Court;International court;Disputes between countries, international law, advisory opinions;;;;;;
European Court of Human Rights;european-court-of-human-rights;;;;;;;;;1959;;The Hague, Netherlands;46 Judges;;;;;The principal judicial organ of the United Nations that settles legal disputes between states.;;;Council of Europe member states;;;;;;COU-000003;;Court;Human rights court;Human rights violations, civil liberties, freedom rights cases;;;;;;
Supreme Court of India;supreme-court-of-india;;;;;;;;;1950;;Strasbourg, France;34 Judges (including Chief Justice);;;;;A court that ensures member countries respect rights protected under the European Convention on Human Rights.;;;India (national jurisdiction);;;;;;COU-000004;;Court;Supreme Court (constitutional court);Constitutional matters, appeals, public interest cases, civil and criminal cases;;;;;;
Federal Constitutional Court of Germany;federal-constitutional-court-of-germany;;;;;;;;;1951;;New Delhi, India;16 Judges;;;;;The highest judicial authority in India, responsible for protecting the Constitution and resolving major legal disputes.;;;Germany (constitutional jurisdiction);;;;;;COU-000005;;Court;Constitutional court;Constitutional complaints, government disputes, election laws, fundamental rights cases;;;;;;
