name;serial_number;issuing_organization_name;description;level;category;products;jobs;validity_duration_months;difficulty;website_url;score;metadata
Adobe Marketo Engage Digital Marketer Professional;CER-000085;Adobe;This certification is aimed at digital marketers using Adobe Marketo Engage for creating and optimizing digital campaigns. It covers email marketing, lead nurturing, and engagement strategies.;;VENDORPRODUCT;Adobe Marketo Engage, Digital Marketing Tools;Digital Marketing Manager, Email Marketing Specialist, Campaign Manager, Content Marketing Specialist, Digital Campaign Strategist;;Advanced;;;
Adobe Marketo Engage Professional – Japanese;CER-000086;Adobe;This is the Japanese-language version of the Adobe Marketo Engage Professional certification. It focuses on marketing automation tools and strategies for professionals in Japan, covering campaign management and optimization.;;VENDORPRODUCT;Adobe Marketo Engage, Marketing Automation Tools;Digital Marketing Manager, Campaign Specialist, Marketing Operations Manager, Marketing Automation Specialist, Lead Nurturing Expert;;Advanced;;;
Adobe Real-Time CDP Business Practitioner Professional;CER-000087;Adobe;This certification covers the use of Adobe Real-Time Customer Data Platform (CDP) to unify customer data and personalize marketing campaigns. It focuses on customer segmentation, journey mapping, and real-time insights for optimized marketing.;;VENDORPRODUCT;Adobe Real-Time CDP, Customer Data Platforms;Data Analyst, Campaign Manager, Customer Insights Manager, Marketing Automation Specialist, Digital Experience Manager;;Advanced;;;
Adobe Real-Time CDP Developer Expert;CER-000088;Adobe;This expert-level certification focuses on developing and customizing Adobe Real-Time Customer Data Platform (CDP) solutions. It covers data integration, custom event tracking, and advanced customer segmentation to optimize real-time marketing efforts.;;VENDORPRODUCT;Adobe Real-Time CDP, Data Integration Tools;CDP Developer, Data Integration Specialist, Marketing Solutions Architect, Real-Time Marketing Specialist, Customer Data Engineer;;Expert;;;
Adobe Target Architect Master;CER-000089;Adobe;This master-level certification focuses on architecting Adobe Target solutions to drive personalized customer experiences. It includes advanced topics such as targeting strategies, A/B testing, integration with other Adobe solutions, and optimization techniques.;;VENDORPRODUCT;Adobe Target, Personalization Tools;Marketing Architect, Personalization Architect, Digital Experience Architect, Optimization Specialist, Data Solutions Architect;;Expert;;;
Adobe Target Business Practitioner Expert;CER-000090;Adobe;This certification is for professionals who have mastered business strategies within Adobe Target. It covers campaign management, personalization, A/B testing, and analyzing optimization results for improving customer engagement.;;VENDORPRODUCT;Adobe Target, Marketing Optimization Tools;Digital Marketing Manager, Personalization Expert, Campaign Manager, Optimization Specialist, Customer Experience Manager;;Expert;;;
Adobe Target Business Practitioner Professional;CER-000091;Adobe;This certification focuses on applying Adobe Target's personalization and optimization features in marketing campaigns. It covers A/B testing, targeting strategies, and performance analysis to enhance customer experiences.;;VENDORPRODUCT;Adobe Target, Personalization Tools;Campaign Manager, Personalization Specialist, Optimization Analyst, Digital Marketing Specialist, Marketing Operations Manager;;Advanced;;;
Adobe Target Optimization Specialist Professional;CER-000092;Adobe;This certification is for professionals specializing in optimizing marketing campaigns using Adobe Target. It covers techniques for A/B testing, targeting, and audience segmentation to boost conversions and engagement.;;VENDORPRODUCT;Adobe Target, Marketing Optimization Tools;Optimization Specialist, A/B Testing Expert, Campaign Analyst, Marketing Automation Specialist, Digital Marketing Specialist;;Advanced;;;
Adobe Workfront Core Developer Expert;CER-000093;Adobe;This certification is designed for developers working with Adobe Workfront. It covers advanced features such as custom integrations, API management, and automating workflows to optimize project management processes.;;VENDORPRODUCT;Adobe Workfront, Project Management Tools;Workfront Developer, Project Automation Specialist, Software Developer, API Integrations Engineer, Solutions Architect;;Expert;;;
Adobe Workfront Core Developer Professional;CER-000094;Adobe;This certification focuses on practical skills for developing and customizing Adobe Workfront solutions. It covers tasks like API integration, creating custom workflows, and managing tasks within the Workfront platform.;;VENDORPRODUCT;Adobe Workfront, Project Management Tools;Workfront Developer, Project Management Specialist, Workflow Automation Developer, Web Developer, API Specialist;;Advanced;;;
Adobe Workfront for Experience Manager Enhanced Connector Expert;CER-000095;Adobe;This expert certification covers integrating Adobe Workfront with Adobe Experience Manager (AEM). It focuses on advanced customization and automating project workflows between Workfront and AEM to enhance content management processes.;;VENDORPRODUCT;Adobe Workfront, Adobe Experience Manager, Integration Tools;AEM Integrations Specialist, Workfront Integration Engineer, Digital Project Manager, Workflow Automation Specialist, Content Operations Manager;;Expert;;;
Adobe Workfront Fusion Developer Professional;CER-000096;Adobe;This certification is for developers working with Adobe Workfront Fusion, focusing on building integrations and automating workflows across multiple platforms to improve project management and team collaboration.;;VENDORPRODUCT;Adobe Workfront, Workflow Automation Tools;Workfront Fusion Developer, Integration Specialist, Automation Engineer, Software Developer, Technical Consultant;;Advanced;;;
Adobe Workfront Fusion Qualified Credential (Beta);CER-000097;Adobe;This is a beta-level certification for developers new to Adobe Workfront Fusion. It focuses on basic integration and workflow automation skills to streamline project management processes using Workfront Fusion.;;VENDORPRODUCT;Adobe Workfront, Workflow Automation Tools;Integration Developer, Workfront Specialist, Automation Engineer, Project Management Assistant, Technical Support Specialist;;Beginner;;;
Adobe Workfront Project Manager Professional;CER-000098;Adobe;This certification focuses on managing projects efficiently using Adobe Workfront. It includes topics like resource allocation, project timelines, team collaboration, and optimizing project workflows for large-scale teams.;;VENDORPRODUCT;Adobe Workfront, Project Management Tools;Project Manager, Program Manager, Digital Project Manager, Project Coordinator, Operations Manager;;Advanced;;;
Magento 2 Associate Developer;CER-000099;Adobe (Magento);Demonstrates understanding of Magento 2 architecture, customization, and module development.;;VENDORPRODUCT;Magento 2;Web Developer, eCommerce Developer, PHP Engineer;;Intermediate;;;
Magento Cloud Developer;CER-000100;Adobe (Magento);Focuses on developing, deploying, and maintaining Magento Commerce Cloud environments.;;VENDORPRODUCT;Magento Cloud;Cloud Developer, eCommerce Specialist, DevOps Engineer;;Advanced;;;
