name;serial_number;country_id;is_capital;state_province;population;number_of_multinational_hqs;number_of_airports;largest_organization;currency;median_salary;median_home_price;average_rent;cost_of_living;temperatures;climate;interesting_fact;degree_holders;number_of_universities;top_universities;number_of_nationalities;language;people_description;latitude;longitude;metadata;main_industries
Aley;CIT-000060;LB;;;50,000 (Foreign Born: 2,000);Few;1 (Beirut Rafic Hariri Intl. Airport ~45 km);Local tourism businesses, agricultural cooperatives;USD;8000;60000;250;Moderate to Low;8°C to 22°C;Mediterranean, mild winters, warm summers;Aley is a popular summer resort town in the mountains of Lebanon, known for its cool climate and beautiful scenery;25% (Bachelor), 7% (Master), 2% (PhD);1;Lebanese University (Aley branch);20+;Arabic, French, English;Peaceful, family-oriented, and closely connected to nature and culture;;;;
Algiers;CIT-000061;DZ;;;3.9 million (Foreign Born: 400,000);Several;1 (Houari Boumediene Airport);Sonatrach, government ministries, port authorities;USD;15000;70000;300;Moderate;10°C to 30°C;Mediterranean, mild winters, hot summers;Algiers is the capital and largest city of Algeria, known for its rich history, architecture, and role in the Algerian War of Independence;40% (Bachelor), 15% (Master), 6% (PhD);5;University of Algiers, École Nationale Polytechnique;30+;Arabic, Berber, French, English;Modern, bustling, and proud of its historical and cultural heritage;;;;
Alicante;CIT-000062;ES;;;330,000 (Foreign Born: 30,000);Few;1 (Alicante-Elche Airport);Tourism operators, shipping firms;EUR;25000;220000;800;Moderate;12°C to 30°C;Mediterranean, mild winters, hot summers;Alicante is a popular tourist destination known for its beaches, medieval architecture, and nightlife;40% (Bachelor), 15% (Master), 6% (PhD);3;University of Alicante, Alicante Polytechnic University;30+;Spanish, Valencian, English;Relaxed, coastal, and vibrant with a rich blend of history and modernity;;;;
Allen;CIT-000063;US;;;115,000 (Foreign Born: 15,000);Few;1 (Dallas/Fort Worth Intl. Airport ~30 mi);Raytheon, local manufacturing and retail;USD;70000;410000;1800;Moderate;3°C to 35°C;Humid subtropical, hot summers, mild winters;Allen is known for its large retail outlets, the Allen Event Center, and its high-quality public schools;35% (Bachelor), 10% (Master), 4% (PhD);2;University of Texas at Dallas (Allen campus), Collin College;20+;English, Spanish, Vietnamese;Family-oriented, rapidly growing, and suburban with a strong community focus;;;;
Allentown;CIT-000064;US;;;120,000 (Foreign Born: 10,000);Few;1 (Lehigh Valley Intl. Airport);Air Products, Lehigh Valley Health Network;USD;50000;200000;1000;Moderate;−6°C to 28°C;Humid continental, cold winters, warm summers;Allentown is known for its industrial history, including being a major steel manufacturing hub;30% (Bachelor), 10% (Master), 5% (PhD);3;Lehigh University, Muhlenberg College;20+;English, Spanish, German;Historic, industrial, and evolving with a focus on education and community;;;;
Almaty;CIT-000065;KZ;;;2 million (Foreign Born: 200,000);Several;1 (Almaty International Airport);Halyk Bank, Air Astana, Kazakhmys;USD;12000;60000;250;Moderate to Low;−10°C to 30°C;Continental, cold winters, warm summers;Almaty is Kazakhstan's largest city and a cultural and economic hub, located at the foot of the Tien Shan mountains;40% (Bachelor), 12% (Master), 5% (PhD);4;Almaty University of Power Engineering and Telecommunications, Kazakh National University;50+;Kazakh, Russian, English, Uzbek;Dynamic, growing, and culturally diverse with a focus on trade and industry;;;;
Almere;CIT-000066;NL;;;220,000 (Foreign Born: 50,000);Few;1 (Amsterdam Schiphol Airport nearby);Local construction firms, service sector;EUR;40000;400000;1400;Moderate to High;4°C to 22°C;Temperate, cool winters, mild summers;Almere is one of the newest cities in the Netherlands, built on reclaimed land in the Zuiderzee;45% (Bachelor), 18% (Master), 7% (PhD);2;University of Applied Sciences Almere, Open University of the Netherlands;40+;Dutch, English;Modern, innovative, and rapidly developing with a focus on sustainability and planning;;;;
Aloha;CIT-000067;US;;;22,000 (Foreign Born: 3,000);Few;1 (Portland International Airport nearby);Intel (nearby), local retail businesses;USD;60000;400000;1200;Moderate;5°C to 30°C;Temperate, cool winters, warm summers;Aloha is a suburban community located near Portland, known for its parks and proximity to the Tualatin River;32% (Bachelor), 8% (Master), 4% (PhD);1;Portland State University (Aloha campus);20+;English, Spanish;Family-oriented, suburban, and community-focused with an emphasis on outdoor living;;;;
Alor Setar;CIT-000068;MY;;;400,000 (Foreign Born: 10,000);Few;1 (Sultan Abdul Halim Airport);Local manufacturing firms, agricultural businesses;USD;7000;60000;250;Low;23°C to 33°C;Tropical, humid, monsoon seasons;Alor Setar is the capital of the Malaysian state of Kedah and is known for its historical sites and cultural heritage;28% (Bachelor), 8% (Master), 3% (PhD);3;Universiti Utara Malaysia, Kolej Universiti Islam Antarabangsa;15+;Malay, English, Tamil;Traditional, welcoming, and focused on its cultural and agricultural roots;;;;
Alpharetta;CIT-000069;US;;;70,000 (Foreign Born: 25,000);Several;1 (Hartsfield-Jackson Atlanta Intl. Airport ~40 mi);McKesson, Verizon, multiple tech firms;USD;90000;650000;2200;Moderate to High;2°C to 34°C;Humid subtropical, hot summers, mild winters;Alpharetta is a thriving suburban city known for its tech industry and excellent public schools;45% (Bachelor), 15% (Master), 6% (PhD);3;Georgia Institute of Technology (Alpharetta campus), Alpharetta Technical College;40+;English, Spanish, Korean;Modern, tech-driven, and suburban with a strong focus on business and education;;;;
Alytus;CIT-000070;LT;;;50,000 (Foreign Born: 2,000);Few;1 (Vilnius Airport nearby);Local manufacturing firms, logistics companies;EUR;12000;90000;300;Low to Moderate;−10°C to 22°C;Continental, cold winters, mild summers;Alytus is one of Lithuania’s oldest cities, located in the south, and is known for its historical significance and natural beauty;18% (Bachelor), 4% (Master), 2% (PhD);1;Alytus College;10+;Lithuanian, Russian, English;Quiet, historical, and nature-loving with a strong sense of local pride;;;;
Amarillo;CIT-000071;US;;;200,000 (Foreign Born: 15,000);Few;1 (Rick Husband Amarillo Intl. Airport);Pantex Plant, Tyson Foods, local energy firms;USD;55000;180000;900;Low to Moderate;−2°C to 34°C;Humid subtropical, cold winters, hot summers;Amarillo is known as the “Helium Capital of the World” and is a key stop on the historic Route 66;30% (Bachelor), 7% (Master), 3% (PhD);2;West Texas A&M University, Amarillo College;10+;English, Spanish, Vietnamese;Friendly, resilient, and deeply connected to its agricultural and historical roots;;;;
Ambato;CIT-000072;EC;;;350,000 (Foreign Born: 8,000);Few;1 (Chachoán Airport);Local textile firms, agricultural businesses;USD;7000;40000;150;Low;5°C to 23°C;Temperate, cool winters, mild summers;"Ambato is known as the ""Fruit Capital of Ecuador"" and is famous for its annual Carnival";25% (Bachelor), 6% (Master), 2% (PhD);2;Technical University of Ambato, Central University of Ecuador (Ambato campus);10+;Spanish, Quechua;Friendly, agricultural, and proud of its cultural traditions;;;;
Ambon;CIT-000073;ID;;;340,000 (Foreign Born: 10,000);Few;1 (Pattimura Airport);Local fishing companies, tourism operators;USD;5000;25000;100;Low;24°C to 31°C;Tropical, humid, monsoon seasons;Ambon is the capital of Maluku Province and has a rich history tied to its spice trade legacy;20% (Bachelor), 5% (Master), 2% (PhD);2;Pattimura University, Ambon State Polytechnic;15+;Indonesian, Ambonese Malay, English;Coastal, warm-hearted, and deeply connected to its maritime history;;;;
Amersfoort;CIT-000074;NL;;;160,000 (Foreign Born: 40,000);Few;1 (Amsterdam Schiphol Airport nearby);Local service firms, education institutions;EUR;45000;400000;1200;Moderate to High;2°C to 22°C;Temperate, cool winters, mild summers;Amersfoort is a historic city known for its medieval architecture, including the Koppelpoort gate;40% (Bachelor), 15% (Master), 5% (PhD);2;University of Amersfoort, Utrecht University (Amersfoort campus);20+;Dutch, English;Historic, peaceful, and culturally rich with a focus on sustainability;;;;
Ames;CIT-000075;US;;;66,000 (Foreign Born: 8,000);Few;1 (Des Moines Intl. Airport nearby);Iowa State University, biotech firms;USD;50000;280000;900;Moderate;−6°C to 30°C;Humid continental, cold winters, warm summers;Ames is home to Iowa State University and has a strong focus on research and agriculture;50% (Bachelor), 20% (Master), 8% (PhD);3;Iowa State University, Des Moines Area Community College;10+;English, Spanish, Somali;Academic, innovative, and centered around research and education;;;;
Amherst town;CIT-000076;US;;;130,000 (Foreign Born: 20,000);Few;1 (Buffalo Niagara Intl. Airport);University at Buffalo, Kaleida Health;USD;55000;300000;1000;Moderate;−6°C to 27°C;Humid continental, cold winters, warm summers;Amherst is a suburban town near Buffalo, known for its parks and educational institutions;40% (Bachelor), 15% (Master), 7% (PhD);3;University at Buffalo, SUNY College at Buffalo;30+;English, Spanish, Polish;Suburban, family-friendly, and with a strong focus on education and green spaces;;;;
Amman;CIT-000077;JO;;;4 million (Foreign Born: 1 million);Few;1 (Queen Alia Intl. Airport);Arab Bank, Zain Jordan, government ministries;USD;10000;50000;250;Moderate;8°C to 30°C;Mediterranean, mild winters, hot summers;Amman is the capital of Jordan, known for its ancient history and vibrant cultural scene;35% (Bachelor), 12% (Master), 5% (PhD);5;University of Jordan, Jordan University of Science & Technology;50+;Arabic, English, French;Modern, bustling, and deeply connected to both history and progress;;;;
Amstelveen;CIT-000078;NL;;;90,000 (Foreign Born: 35,000);Several;1 (Amsterdam Schiphol Airport nearby);Philips, Cisco Systems, local finance and IT firms;EUR;50000;450000;1200;Moderate to High;4°C to 22°C;Temperate, cool winters, mild summers;Amstelveen is known for its green spaces and proximity to Amsterdam, making it a peaceful suburban area;45% (Bachelor), 20% (Master), 8% (PhD);2;Vrije Universiteit Amsterdam, Amsterdam University of Applied Sciences;40+;Dutch, English;Quiet, suburban, and green with a focus on sustainability and family life;;;;
Amsterdam;CIT-000079;NL;;;870,000 (Foreign Born: 350,000);Many;1 (Amsterdam Schiphol Airport);ING Group, Booking.com, Philips, Heineken;EUR;60000;650000;1800;High;5°C to 22°C;Temperate, cool winters, mild summers;Amsterdam is the capital of the Netherlands, famous for its canals, museums, and historical architecture;50% (Bachelor), 25% (Master), 15% (PhD);15;University of Amsterdam, Vrije Universiteit Amsterdam;100+;Dutch, English, Arabic, Spanish;Progressive, artistic, and cosmopolitan with a rich cultural heritage;;;;
Anaheim;CIT-000080;US;;;350,000 (Foreign Born: 90,000);Several;1 (John Wayne Airport);Disneyland Resort, Honda, local manufacturing;USD;65000;750000;2200;High;10°C to 30°C;Mediterranean, mild winters, hot summers;Anaheim is home to Disneyland Resort and is known for its theme parks and entertainment industry;40% (Bachelor), 15% (Master), 7% (PhD);4;California State University, Fullerton, Chapman University;50+;English, Spanish, Korean;Fun-loving, family-oriented, and entertainment-driven with a focus on tourism;;;;
Anchorage;CIT-000081;US;;;290,000 (Foreign Born: 20,000);Few;1 (Ted Stevens Anchorage Intl. Airport);ConocoPhillips Alaska, Alaska Airlines, military bases;USD;70000;350000;1500;High;−10°C to 20°C;Subarctic, cold winters, mild summers;Anchorage is the largest city in Alaska, known for its stunning natural beauty and wildlife;30% (Bachelor), 10% (Master), 5% (PhD);3;University of Alaska Anchorage, Alaska Pacific University;15+;English, Russian, Tagalog;Adventurous, resilient, and deeply connected to nature and the outdoors;;;;
Anderson;CIT-000082;US;;;55,000 (Foreign Born: 2,000);Few;1 (Indianapolis Intl. Airport ~40 mi);General Motors (historic), local healthcare providers;USD;45000;130000;700;Moderate to Low;−5°C to 28°C;Humid continental, cold winters, warm summers;Anderson is known for its automotive industry history and its annual Madison County Fair;20% (Bachelor), 5% (Master), 2% (PhD);1;Anderson University;10+;English, Spanish;Suburban, hardworking, and community-focused with a small-town feel;;;;
Andijan;CIT-000083;UZ;;;450,000 (Foreign Born: 15,000);Few;1 (Andijan Airport);Textile mills, agricultural enterprises;USD;6000;15000;100;Low;10°C to 35°C;Continental, hot summers, cold winters;Andijan is a major city in eastern Uzbekistan, known for its historical sites and agricultural products;18% (Bachelor), 5% (Master), 2% (PhD);1;Andijan State University;5+;Uzbek, Russian, Kyrgyz;Friendly, agricultural, and steeped in history with a focus on family;;;;
Angeles City;CIT-000084;PH;;;450,000 (Foreign Born: 20,000);Few;1 (Clark International Airport);Resorts, retail businesses;USD;5500;25000;150;Low;22°C to 34°C;Tropical, humid, monsoon seasons;Angeles City is famous for its nightlife, entertainment industry, and historical significance during the American colonial period;25% (Bachelor), 8% (Master), 3% (PhD);3;Angeles University Foundation, University of the Philippines (Angeles campus);15+;Filipino, English, Kapampangan;Lively, entertainment-oriented, and hospitality-driven with a mix of cultures;;;;
Angers;CIT-000085;FR;;;150,000 (Foreign Born: 10,000);Few;1 (Angers Loire Airport);Tech firms, University of Angers;EUR;35000;320000;1100;Moderate;5°C to 20°C;Oceanic, mild winters, cool summers;Angers is known for its medieval architecture, the Château d'Angers, and its wine production;35% (Bachelor), 12% (Master), 5% (PhD);4;University of Angers, Centrale Nantes (Angers campus);30+;French, English, Spanish;Historic, artistic, and vibrant with a strong academic and cultural presence;;;;
Angra do Heroísmo;CIT-000086;PT;;;35,000 (Foreign Born: 4,000);Few;1 (Lajes Airport);Tourism operators, local agriculture;EUR;20000;180000;650;Moderate to Low;14°C to 24°C;Mediterranean, mild winters, warm summers;Angra do Heroísmo is a UNESCO World Heritage site known for its colonial architecture and rich maritime history;30% (Bachelor), 8% (Master), 3% (PhD);2;University of the Azores, Angra Polytechnic Institute;10+;Portuguese, English, Spanish;Historic, picturesque, and community-oriented with a laid-back coastal vibe;;;;
Ankara;CIT-000087;TR;;;5.1 million (Foreign Born: 500,000);Several;1 (Esenboğa Airport);Turkish government, ASELSAN, Hacettepe University;EUR;15000;90000;400;Moderate;−4°C to 30°C;Continental, cold winters, hot summers;Ankara is the capital of Turkey and is known for its political and historical significance;40% (Bachelor), 15% (Master), 6% (PhD);6;Middle East Technical University, Ankara University;50+;Turkish, English, Kurdish;Political, modern, and intellectual with a strong cultural heritage;;;;
Ankeny;CIT-000088;US;;;70,000 (Foreign Born: 5,000);Few;1 (Des Moines Intl. Airport nearby);Local manufacturing firms, retail chains;USD;55000;320000;1000;Moderate;−8°C to 29°C;Humid continental, cold winters, warm summers;Ankeny is a growing suburb of Des Moines, known for its parks and vibrant local community;30% (Bachelor), 8% (Master), 3% (PhD);1;Des Moines Area Community College (Ankeny campus);10+;English, Spanish;Suburban, family-oriented, and centered around local development and community;;;;
Ann Arbor;CIT-000089;US;;;120,000 (Foreign Born: 25,000);Few;1 (Detroit Metropolitan Airport);University of Michigan, healthcare, tech startups;USD;75000;450000;1800;High;−6°C to 29°C;Humid continental, cold winters, warm summers;Ann Arbor is home to the University of Michigan and is known for its strong focus on education, culture, and technology;55% (Bachelor), 20% (Master), 10% (PhD);8;University of Michigan, Concordia University Ann Arbor;40+;English, Spanish, Chinese;Academic, innovative, and vibrant with a progressive, intellectual atmosphere;;;;
Annaba;CIT-000090;DZ;;;250,000 (Foreign Born: 20,000);Few;1 (Annaba Airport);ArcelorMittal Annaba, port authorities;USD;12000;50000;250;Moderate;14°C to 30°C;Mediterranean, mild winters, hot summers;Annaba is an important port city in Algeria, known for its beaches and the ancient ruins of Hippone;28% (Bachelor), 10% (Master), 4% (PhD);2;University of Annaba, High Institute of Business Management;15+;Arabic, Berber, French, English;Historic, coastal, and deeply rooted in its cultural and economic significance;;;;
Annecy;CIT-000091;FR;;;130,000 (Foreign Born: 15,000);Few;1 (Annecy-Meythet Airport nearby);Tourism operators, tech startups;EUR;40000;450000;1400;High;5°C to 20°C;Oceanic, mild winters, cool summers;Annecy is known for its stunning lakeside scenery, medieval old town, and proximity to the Alps;40% (Bachelor), 15% (Master), 6% (PhD);3;University of Savoie Mont Blanc, ESIGEC Annecy;30+;French, English, Italian;Scenic, relaxed, and outdoorsy with a focus on tourism and cultural heritage;;;;
Ansan;CIT-000092;KR;;;700,000 (Foreign Born: 100,000);Several;1 (Seoul Incheon International Airport nearby);Samsung, LG Chem, local manufacturing;USD;32000;180000;700;Moderate;−5°C to 30°C;Continental, cold winters, hot summers;Ansan is a major industrial city and a hub for technology and manufacturing in South Korea;40% (Bachelor), 12% (Master), 5% (PhD);3;University of Incheon, Ansan University;20+;Korean, English;Industrial, innovative, and diverse with a strong focus on technology;;;;
Antalya;CIT-000093;TR;;;1.3 million (Foreign Born: 80,000);Few;1 (Antalya Airport);Tourism operators, local agriculture;EUR;10000;80000;350;Moderate to Low;10°C to 30°C;Mediterranean, mild winters, hot summers;Antalya is a famous resort city on the Turkish Riviera, known for its beaches, luxury resorts, and historical sites;35% (Bachelor), 10% (Master), 4% (PhD);4;Akdeniz University, Antalya Bilim University;30+;Turkish, English, German;Coastal, relaxed, and tourist-focused with a strong connection to nature;;;;
Antioch;CIT-000094;US;;;115,000 (Foreign Born: 30,000);Few;1 (Oakland International Airport nearby);Manufacturing firms, retail chains;USD;65000;650000;2100;Moderate to High;4°C to 34°C;Mediterranean, hot summers, mild winters;Antioch is located in the East Bay region of the San Francisco Bay Area, known for its historic downtown and access to outdoor recreation;30% (Bachelor), 8% (Master), 3% (PhD);2;California State University East Bay (Antioch campus), Diablo Valley College;20+;English, Spanish, Tagalog;Suburban, family-oriented, and focused on growth and community development;;;;
Antofagasta;CIT-000095;CL;;;400,000 (Foreign Born: 25,000);Few;1 (Andrés Sabella Gálvez International Airport);Antofagasta Minerals, port authorities;USD;14000;120000;500;Moderate;15°C to 25°C;Desert, mild winters, hot summers;Antofagasta is an important port city and mining hub, located in northern Chile;30% (Bachelor), 10% (Master), 4% (PhD);2;Universidad de Antofagasta, Instituto Profesional Los Leones;10+;Spanish, English;Industrial, coastal, and focused on mining and economic development;;;;
Antwerp;CIT-000096;BE;;;530,000 (Foreign Born: 200,000);Several;1 (Antwerp International Airport);Port of Antwerp, diamond firms, chemical manufacturers;EUR;45000;350000;1300;High;4°C to 22°C;Oceanic, mild winters, cool summers;Antwerp is known for its fashion industry, diamond district, and rich cultural heritage;45% (Bachelor), 15% (Master), 8% (PhD);5;University of Antwerp, Antwerp Management School;50+;Dutch, French, English, German;Fashionable, historical, and cosmopolitan with a focus on commerce and culture;;;;
Aosta;CIT-000097;IT;;;34,000 (Foreign Born: 2,000);Few;1 (Aosta Airport - limited commercial flights);Tourism operators, local agriculture;EUR;30000;350000;1000;Moderate;−2°C to 20°C;Alpine, cold winters, mild summers;Aosta is a charming medieval town in the Italian Alps, known for its Roman architecture and ski resorts;40% (Bachelor), 12% (Master), 5% (PhD);2;University of Aosta Valley, Istituto di Istruzione Superiore;10+;Italian, French, English;Scenic, relaxed, and closely connected to nature and history;;;;
Apex;CIT-000098;US;;;60,000 (Foreign Born: 10,000);Few;1 (Raleigh-Durham Intl. Airport);Cisco Systems, local tech and manufacturing firms;USD;75000;430000;1600;Moderate to High;2°C to 31°C;Humid subtropical, hot summers, mild winters;Apex is a suburban town near Raleigh, known for its historic downtown and family-friendly atmosphere;35% (Bachelor), 10% (Master), 4% (PhD);1;Wake Technical Community College (Apex campus);20+;English, Spanish, Tamil;Suburban, family-oriented, and community-focused with a small-town vibe;;;;
Apple Valley;CIT-000099;US;;;56,000 (Foreign Born: 6,000);Few;1 (Minneapolis-Saint Paul Intl. Airport);Local healthcare providers, retail chains;USD;60000;340000;1200;Moderate;−8°C to 30°C;Humid continental, cold winters, warm summers;Apple Valley is a suburban city known for its parks, family-friendly environment, and the Minnesota Zoo;40% (Bachelor), 15% (Master), 6% (PhD);2;University of Minnesota (Apple Valley campus), Dakota County Technical College;30+;English, Spanish, Somali;Suburban, family-friendly, and growing with a focus on recreation and education;;;;
Appleton;CIT-000100;US;;;75,000 (Foreign Born: 4,000);Few;1 (Appleton International Airport);Paper industry, healthcare, education institutions;USD;52000;250000;900;Moderate to Low;−7°C to 28°C;Humid continental, cold winters, warm summers;Appleton is known for its paper industry history and is home to Lawrence University and several cultural institutions;35% (Bachelor), 10% (Master), 5% (PhD);3;Lawrence University, Fox Valley Technical College;10+;English, Spanish, Hmong;Historic, community-focused, and culturally rich with a focus on education;;;;
Cambridge;CIT-000101;US;;Massachusetts;;;;;USD;;;;;;;;;;;;English;;;;;
Stanford;CIT-000102;US;;California;;;;;USD;;;;;;;;;;;;English;;;;;
Cambridge;CIT-000103;GB;;England;;;;;GBP;;;;;;;;;;;;English;;;;;
Berkeley;CIT-000104;US;;California;;;;;USD;;;;;;;;;;;;English;;;;;
Princeton;CIT-000105;US;;New Jersey;;;;;USD;;;;;;;;;;;;English;;;;;
Oxford;CIT-000106;GB;;England;;;;;GBP;;;;;;;;;;;;English;;;;;
New York City;CIT-000107;US;;New York;;;;;USD;;;;;;;;;;;;English;;;;;
Pasadena;CIT-000108;US;;California;;;;;USD;;;;;;;;;;;;English;;;;;
Chicago;CIT-000109;US;;Illinois;;;;;USD;;;;;;;;;;;;English;;;;;
New Haven;CIT-000110;US;;Connecticut;;;;;USD;;;;;;;;;;;;English;;;;;
Los Angeles;CIT-000111;US;;California;;;;;USD;;;;;;;;;;;;English;;;;;
Seattle;CIT-000112;US;;Washington;;;;;USD;;;;;;;;;;;;English;;;;;
Ithaca;CIT-000113;US;;New York;;;;;USD;;;;;;;;;;;;English;;;;;
San Diego;CIT-000114;US;;California;;;;;USD;;;;;;;;;;;;English;;;;;
London;CIT-000115;GB;TRUE;England;;;;;GBP;;;;;;;;;;;;English;;;;;
Philadelphia;CIT-000116;US;;Pennsylvania;;;;;USD;;;;;;;;;;;;English;;;;;
Baltimore;CIT-000117;US;;Maryland;;;;;USD;;;;;;;;;;;;English;;;;;
Zurich;CIT-000118;CH;;;;;;;CHF;;;;;;;;;;;;German;;;;;
St. Louis;CIT-000119;US;;Missouri;;;;;USD;;;;;;;;;;;;English;;;;;
San Francisco;CIT-000120;US;;California;;;;;USD;;;;;;;;;;;;English;;;;;
Evanston;CIT-000121;US;;Illinois;;;;;USD;;;;;;;;;;;;English;;;;;
Toronto;CIT-000122;CA;;Ontario;;;;;CAD;;;;;;;;;;;;English;;;;;
Tokyo;CIT-000123;JP;TRUE;;;;;;JPY;;;;;;;;;;;;Japanese;;;;;
Durham;CIT-000124;US;;North Carolina;;;;;USD;;;;;;;;;;;;English;;;;;
Madison;CIT-000125;US;;Wisconsin;;;;;USD;;;;;;;;;;;;English;;;;;
Copenhagen;CIT-000126;DK;TRUE;;;;;;DKK;;;;;;;;;;;;Danish;;;;;
Vancouver;CIT-000127;CA;;British Columbia;;;;;CAD;;;;;;;;;;;;English;;;;;
Edinburgh;CIT-000128;GB;;Scotland;;;;;GBP;;;;;;;;;;;;English;;;;;
Chapel Hill;CIT-000129;US;;North Carolina;;;;;USD;;;;;;;;;;;;English;;;;;
Minneapolis;CIT-000130;US;;Minnesota;;;;;USD;;;;;;;;;;;;English;;;;;
Kyoto;CIT-000131;JP;;;;;;;JPY;;;;;;;;;;;;Japanese;;;;;
Urbana and Champaign;CIT-000132;US;;Illinois;;;;;USD;;;;;;;;;;;;English;;;;;
Manchester;CIT-000133;GB;;England;;;;;GBP;;;;;;;;;;;;English;;;;;
Melbourne;CIT-000134;AU;;Victoria;;;;;AUD;;;;;;;;;;;;English;;;;;
Paris;CIT-000135;FR;TRUE;;;;;;EUR;;;;;;;;;;;;French;;;;;
Orsay;CIT-000136;FR;;;;;;;EUR;;;;;;;;;;;;French;;;;;
Heidelberg;CIT-000137;DE;;Baden-Württemberg;;;;;EUR;;;;;;;;;;;;German;;;;;
Boulder;CIT-000138;US;;Colorado;;;;;USD;;;;;;;;;;;;English;;;;;
Stockholm;CIT-000139;SE;TRUE;;;;;;SEK;;;;;;;;;;;;Swedish;;;;;
Santa Barbara;CIT-000140;US;;California;;;;;USD;;;;;;;;;;;;English;;;;;
Utrecht;CIT-000141;NL;;;;;;;EUR;;;;;;;;;;;;Dutch;;;;;
Dallas;CIT-000142;US;;Texas;;;;;USD;;;;;;;;;;;;English;;;;;
Beijing;CIT-000143;CN;TRUE;;;;;;CNY;;;;;;;;;;;;Chinese Mandarin;;;;;
Munich;CIT-000144;DE;;;;;;;EUR;;;;;;;;;;;;German;;;;;
Austin;CIT-000145;US;;Texas;;;;;USD;;;;;;;;;;;;English;;;;;
Nashville;CIT-000146;US;;Tennessee;;;;;USD;;;;;;;;;;;;English;;;;;
College Park;CIT-000147;US;;Maryland;;;;;USD;;;;;;;;;;;;English;;;;;
Brisbane;CIT-000148;AU;;Queensland;;;;;AUD;;;;;;;;;;;;English;;;;;
Helsinki;CIT-000149;FI;TRUE;;;;;;EUR;;;;;;;;;;;;Finnish;;;;;
Groningen;CIT-000150;NL;;;;;;;EUR;;;;;;;;;;;;Dutch;;;;;
Geneva;CIT-000151;CH;;;;;;;CHF;;;;;;;;;;;;French;;;;;
Bristol;CIT-000152;GB;;England;;;;;GBP;;;;;;;;;;;;English;;;;;
Oslo;CIT-000153;NO;TRUE;;;;;;NOK;;;;;;;;;;;;Norwegian;;;;;
Uppsala;CIT-000154;SE;;;;;;;SEK;;;;;;;;;;;;Swedish;;;;;
Irvine;CIT-000155;US;;California;;;;;USD;;;;;;;;;;;;English;;;;;
Hamilton;CIT-000156;CA;;Ontario;;;;;CAD;;;;;;;;;;;;English;;;;;
Montreal;CIT-000157;CA;;Quebec;;;;;CAD;;;;;;;;;;;;French;;;;;
Pittsburgh;CIT-000158;US;;Pennsylvania;;;;;USD;;;;;;;;;;;;English;;;;;
Ghent;CIT-000159;BE;;;;;;;EUR;;;;;;;;;;;;Dutch;;;;;
Rochester;CIT-000160;US;;Minnesota;;;;;USD;;;;;;;;;;;;English;;;;;
Rotterdam;CIT-000161;NL;;;;;;;EUR;;;;;;;;;;;;Dutch;;;;;
Houston;CIT-000162;US;;Texas;;;;;USD;;;;;;;;;;;;English;;;;;
Lausanne;CIT-000163;CH;;;;;;;CHF;;;;;;;;;;;;French;;;;;
West Lafayette;CIT-000164;US;;Indiana;;;;;USD;;;;;;;;;;;;English;;;;;
New Brunswick;CIT-000165;US;;New Jersey;;;;;USD;;;;;;;;;;;;English;;;;;
Boston;CIT-000166;US;;Massachusetts;;;;;USD;;;;;;;;;;;;English;;;;;
Columbus;CIT-000167;US;;Ohio;;;;;USD;;;;;;;;;;;;English;;;;;
Sydney;CIT-000168;AU;;New South Wales;;;;;AUD;;;;;;;;;;;;English;;;;;
Nagoya;CIT-000169;JP;;Aichi;;;;;JPY;;;;;;;;;;;;Japanese;;;;;
Atlanta;CIT-000170;US;;Georgia;;;;;USD;;;;;;;;;;;;English;;;;;
University Park;CIT-000171;US;;Pennsylvania;;;;;USD;;;;;;;;;;;;English;;;;;
Davis;CIT-000172;US;;California;;;;;USD;;;;;;;;;;;;English;;;;;
Leiden;CIT-000173;NL;;;;;;;EUR;;;;;;;;;;;;Dutch;;;;;
Gainesville;CIT-000174;US;;Florida;;;;;USD;;;;;;;;;;;;English;;;;;
Leuven;CIT-000175;BE;;;;;;;EUR;;;;;;;;;;;;Dutch;;;;;
Singapore;CIT-000176;SG;TRUE;;;;;;SGD;;;;;;;;;;;;English, Malay, Chinese Mandarin, Tamil;;;;;
Perth;CIT-000177;AU;;Western Australia;;;;;AUD;;;;;;;;;;;;English;;;;;
Moscow;CIT-000178;RU;TRUE;;;;;;RUB;;;;;;;;;;;;Russian;;;;;
Basel;CIT-000179;CH;;;;;;;CHF;;;;;;;;;;;;German;;;;;
Göttingen;CIT-000180;DE;;;;;;;EUR;;;;;;;;;;;;German;;;;;
Canberra;CIT-000181;AU;TRUE;;;;;;AUD;;;;;;;;;;;;English;;;;;
Santa Cruz;CIT-000182;US;;California;;;;;USD;;;;;;;;;;;;English;;;;;
Cardiff;CIT-000183;GB;;Wales;;;;;GBP;;;;;;;;;;;;English;;;;;
Tucson;CIT-000184;US;;Arizona;;;;;USD;;;;;;;;;;;;English;;;;;
Riyadh;CIT-000185;SA;TRUE;;;;;;SAR;;;;;;;;;;;;Arabic;;;;;
